% nSim ->    2800
  nExp  nIn  hLS      trFcn    lr    trC
   170   5    5    traingd  0.10  50000
   171   5    5    traingd  0.05   1000
   172   5    5    traingd  0.05   5000
   173   5    5    traingd  0.05  10000
   174   5    5    traingd  0.05  20000
   175   5    5    traingd  0.05  50000
   176   5    5    traingd  0.01   1000
   177   5    5    traingd  0.01   5000
   178   5    5    traingd  0.01  10000
   179   5    5    traingd  0.01  20000
   180   5    5    traingd  0.01  50000
   181   5    5   traingda  0.20   1000
   182   5    5   traingda  0.20   5000
   183   5    5   traingda  0.20  10000
   184   5    5   traingda  0.20  20000
   185   5    5   traingda  0.20  50000
   186   5    5   traingda  0.10   1000
   187   5    5   traingda  0.10   5000
   188   5    5   traingda  0.10  10000
   189   5    5   traingda  0.10  20000
   190   5    5   traingda  0.10  50000
   191   5    5   traingda  0.05   1000
   192   5    5   traingda  0.05   5000
   193   5    5   traingda  0.05  10000
   194   5    5   traingda  0.05  20000
   195   5    5   traingda  0.05  50000
   196   5    5   traingda  0.01   1000
   197   5    5   traingda  0.01   5000
   198   5    5   traingda  0.01  10000
   199   5    5   traingda  0.01  20000
   200   5    5   traingda  0.01  50000
   201   5    5   traingdx  0.20   1000
   202   5    5   traingdx  0.20   5000
   203   5    5   traingdx  0.20  10000
   204   5    5   traingdx  0.20  20000
   205   5    5   traingdx  0.20  50000
   206   5    5   traingdx  0.10   1000
   207   5    5   traingdx  0.10   5000
   208   5    5   traingdx  0.10  10000
   209   5    5   traingdx  0.10  20000
   210   5    5   traingdx  0.10  50000
   211   5    5   traingdx  0.05   1000
   212   5    5   traingdx  0.05   5000
   213   5    5   traingdx  0.05  10000
   214   5    5   traingdx  0.05  20000
   215   5    5   traingdx  0.05  50000
   216   5    5   traingdx  0.01   1000
   217   5    5   traingdx  0.01   5000
   218   5    5   traingdx  0.01  10000
   219   5    5   traingdx  0.01  20000
   220   5    5   traingdx  0.01  50000
   221   5    5    trainrp  0.20   1000
   222   5    5    trainrp  0.20   5000
   223   5    5    trainrp  0.20  10000
   224   5    5    trainrp  0.20  20000
   225   5    5    trainrp  0.20  50000
   226   5    5    trainrp  0.10   1000
   227   5    5    trainrp  0.10   5000
   228   5    5    trainrp  0.10  10000
   229   5    5    trainrp  0.10  20000
   230   5    5    trainrp  0.10  50000
   231   5    5    trainrp  0.05   1000
   232   5    5    trainrp  0.05   5000
   233   5    5    trainrp  0.05  10000
   234   5    5    trainrp  0.05  20000
   235   5    5    trainrp  0.05  50000
