28	06	05	00.20	5000
28	06	05	00.10	1000
28	06	06	00.20	2000
28	06	06	00.05	1000
28	12	05	00.10	1000
28	12	06	00.20	5000
28	12	06	00.20	5000
28	24	05	00.10	2000
28	24	05	00.05	5000
28	24	06	00.10	1000
28	36	05	00.10	5000
28	36	05	00.05	2000
28	36	06	00.05	2000
28	48	05	00.20	2000
28	48	06	00.20	1000
28	48	06	00.05	1000
52	12	05	00.20	2000
52	12	06	00.10	1000
52	12	06	00.05	1000
52	12	06	00.05	5000
52	24	05	00.20	2000
52	24	05	00.05	1000
52	24	06	00.10	2000
52	24	06	00.05	1000
52	48	05	00.20	1000
52	48	05	00.20	1000
52	48	05	00.05	5000
52	48	06	00.20	2000
52	72	05	00.05	5000
52	72	06	00.10	2000
52	72	06	00.10	5000
52	96	05	00.20	5000
52	96	05	00.10	2000
52	96	06	00.10	5000
76	24	05	00.10	2000
76	24	05	00.10	5000
76	24	05	00.05	2000
76	24	06	00.20	5000
76	48	05	00.10	1000
76	48	05	00.05	5000
76	48	06	00.20	2000
76	72	06	00.20	5000
76	72	06	00.10	1000
76	72	06	00.05	2000
76	96	05	00.20	1000
76	96	05	00.20	1000
76	96	06	00.20	1000
76	120	05	00.05	1000
76	120	06	00.10	5000
76	120	06	00.05	2000
