28  
Consejería de Medio Ambiente Comunidad de Madrid                                
Alcala 16                                                                       
28001 MADRID                                                                    
0231
28065014Getafe                                              401852
034301
667 14
07Monóxido de nitrógeno      µg/m³     08Quimioluminiscencia        000312480.00
08Dióxido de nitrógeno       µg/m³     08Quimioluminiscencia        000319130.00
10Particulas en suspensión   µg/m³     49Absorción beta             000312500.00
14Ozono                      µg/m³     06Absorción ultravioleta     000319970.00
82Dirección del viento       Grd       89Meteorología               000303600.00
81Velocidad del viento       m/s       89Meteorología               000350.00.00
83Temperatura media          ºC        89Meteorología               000360.0-0.0
86Humedad relativa           %         89Meteorología               000301000.00
87Presión barométrica        mbar      89Meteorología               000310880820
88Radiación solar            W/m²      89Meteorología               000325000.00
89Precipitación              l/m²      89Meteorología               000350.00.00
30Benceno                    µg/m³     59Cromatografía de gases     000310000.00
20Tolueno                    µg/m³     59Cromatografía de gases     000310000.00
31Xileno                     µg/m³     59Cromatografía de gases     000310000.00
28074007Leganés                                             401835
034516
676 12
07Monóxido de nitrógeno      µg/m³     08Quimioluminiscencia        000312480.00
08Dióxido de nitrógeno       µg/m³     08Quimioluminiscencia        000319130.00
06Monóxido de carbono        mg/m³     48Espectrometría infrarroja n000365.00.00
10Particulas en suspensión   µg/m³     49Absorción beta             000312500.00
14Ozono                      µg/m³     06Absorción ultravioleta     000319970.00
82Dirección del viento       Grd       89Meteorología               000303600.00
81Velocidad del viento       m/s       89Meteorología               000350.00.00
83Temperatura media          ºC        89Meteorología               000360.0-0.0
86Humedad relativa           %         89Meteorología               000301000.00
87Presión barométrica        mbar      89Meteorología               000310880820
88Radiación solar            W/m²      89Meteorología               000325000.00
89Precipitación              l/m²      89Meteorología               000350.00.00
28005002Alcalá de Henares                                   402845
032240
595 13
01Dióxido de azufre          µg/m³     38Fluorescencia ultravioleta 000326620.00
07Monóxido de nitrógeno      µg/m³     08Quimioluminiscencia        000312480.00
08Dióxido de nitrógeno       µg/m³     08Quimioluminiscencia        000319130.00
06Monóxido de carbono        mg/m³     48Espectrometría infrarroja n000365.00.00
10Particulas en suspensión   µg/m³     49Absorción beta             000312500.00
14Ozono                      µg/m³     06Absorción ultravioleta     000319970.00
82Dirección del viento       Grd       89Meteorología               000303600.00
81Velocidad del viento       m/s       89Meteorología               000350.00.00
83Temperatura media          ºC        89Meteorología               000360.0-0.0
86Humedad relativa           %         89Meteorología               000301000.00
87Presión barométrica        mbar      89Meteorología               000310880820
88Radiación solar            W/m²      89Meteorología               000325000.00
89Precipitación              l/m²      89Meteorología               000350.00.00
28006004Alcobendas                                          403226N033841
688 18
01Dióxido de azufre          µg/m³     38Fluorescencia ultravioleta 000326620.00
07Monóxido de nitrógeno      µg/m³     08Quimioluminiscencia        000312480.00
08Dióxido de nitrógeno       µg/m³     08Quimioluminiscencia        000319130.00
06Monóxido de carbono        mg/m³     48Espectrometría infrarroja n000365.00.00
10Particulas en suspensión   µg/m³     49Absorción beta             000310000.00
14Ozono                      µg/m³     06Absorción ultravioleta     000319970.00
82Dirección del viento       Grd       89Meteorología               000303600.00
81Velocidad del viento       m/s       89Meteorología               000350.00.00
83Temperatura media          ºC        89Meteorología               000360.0-0.0
86Humedad relativa           %         89Meteorología               000301000.00
87Presión barométrica        mbar      89Meteorología               000310880820
88Radiación solar            W/m²      89Meteorología               000325000.00
89Precipitación              l/m²      89Meteorología               000350.00.00
30Benceno                    µg/m³     59Cromatografía de gases     000310000.00
20Tolueno                    µg/m³     59Cromatografía de gases     000310000.00
31Xileno                     µg/m³     59Cromatografía de gases     000310000.00
42Carburos totales           mg/m³     02Ionización llama           000326620.00
44Hidrocarburos no metánicos mg/m³     02Ionización llama           000326620.00
28058004Fuenlabrada                                         401652
034806
699 17
01Dióxido de azufre          µg/m³     38Fluorescencia ultravioleta 000326620.00
07Monóxido de nitrógeno      µg/m³     08Quimioluminiscencia        000312480.00
08Dióxido de nitrógeno       µg/m³     08Quimioluminiscencia        000319130.00
10Particulas en suspensión   µg/m³     49Absorción beta             000312500.00
14Ozono                      µg/m³     06Absorción ultravioleta     000319970.00
82Dirección del viento       Grd       89Meteorología               000303600.00
81Velocidad del viento       m/s       89Meteorología               000350.00.00
83Temperatura media          ºC        89Meteorología               000360.0-0.0
86Humedad relativa           %         89Meteorología               000301000.00
87Presión barométrica        mbar      89Meteorología               000310880820
88Radiación solar            W/m²      89Meteorología               000325000.00
89Precipitación              l/m²      89Meteorología               000350.00.00
30Benceno                    µg/m³     59Cromatografía de gases     000310000.00
20Tolueno                    µg/m³     59Cromatografía de gases     000310000.00
31Xileno                     µg/m³     59Cromatografía de gases     000310000.00
42Carburos totales           mg/m³     02Ionización llama           000326620.00
44Hidrocarburos no metánicos mg/m³     02Ionización llama           000326620.00
28092005Móstoles                                            401927
035235
660 13
01Dióxido de azufre          µg/m³     38Fluorescencia ultravioleta 000326620.00
07Monóxido de nitrógeno      µg/m³     08Quimioluminiscencia        000312480.00
08Dióxido de nitrógeno       µg/m³     08Quimioluminiscencia        000319130.00
06Monóxido de carbono        mg/m³     48Espectrometría infrarroja n000365.00.00
10Particulas en suspensión   µg/m³     49Absorción beta             000310000.00
14Ozono                      µg/m³     06Absorción ultravioleta     000319970.00
82Dirección del viento       Grd       89Meteorología               000303600.00
81Velocidad del viento       m/s       89Meteorología               000350.00.00
83Temperatura media          ºC        89Meteorología               000360.0-0.0
86Humedad relativa           %         89Meteorología               000301000.00
87Presión barométrica        mbar      89Meteorología               000310880820
88Radiación solar            W/m²      89Meteorología               000325000.00
89Precipitación              l/m²      89Meteorología               000350.00.00
28148004Torrejón de Ardoz                                   402700
032903
597 16
07Monóxido de nitrógeno      µg/m³     08Quimioluminiscencia        000312480.00
08Dióxido de nitrógeno       µg/m³     08Quimioluminiscencia        000319130.00
06Monóxido de carbono        mg/m³     48Espectrometría infrarroja n000365.00.00
10Particulas en suspensión   µg/m³     49Absorción beta             000312500.00
14Ozono                      µg/m³     06Absorción ultravioleta     000319970.00
82Dirección del viento       Grd       89Meteorología               000303600.00
81Velocidad del viento       m/s       89Meteorología               000350.00.00
83Temperatura media          ºC        89Meteorología               000360.0-0.0
86Humedad relativa           %         89Meteorología               000301000.00
87Presión barométrica        mbar      89Meteorología               000310880820
88Radiación solar            W/m²      89Meteorología               000325000.00
89Precipitación              l/m²      89Meteorología               000350.00.00
30Benceno                    µg/m³     59Cromatografía de gases     000310000.00
20Tolueno                    µg/m³     59Cromatografía de gases     000310000.00
31Xileno                     µg/m³     59Cromatografía de gases     000310000.00
09Particulas<2.5             µg/m³N    49Absorción beta             000312500.00
28007004Alcorcón                                            402030N035015W693 12
07Monóxido de nitrógeno      µg/m³     08Quimioluminiscencia        000312480.00
08Dióxido de nitrógeno       µg/m³     08Quimioluminiscencia        000319130.00
10Particulas en suspensión   µg/m³     49Absorción beta             000312500.00
14Ozono                      µg/m³     06Absorción ultravioleta     000319970.00
82Dirección del viento       Grd       89Meteorología               000303600.00
81Velocidad del viento       m/s       89Meteorología               000350.00.00
83Temperatura media          ºC        89Meteorología               000360.0-0.0
86Humedad relativa           %         89Meteorología               000301000.00
87Presión barométrica        mbar      89Meteorología               000310880820
88Radiación solar            W/m²      89Meteorología               000325000.00
89Precipitación              l/m²      89Meteorología               000350.00.00
09Particulas<2.5             µg/m³     49Absorción beta             000312500.00
28049003Coslada                                             402552
033334
621 12
01Dióxido de azufre          µg/m³     38Fluorescencia ultravioleta 000326620.00
07Monóxido de nitrógeno      µg/m³     08Quimioluminiscencia        000312480.00
08Dióxido de nitrógeno       µg/m³     08Quimioluminiscencia        000319130.00
10Particulas en suspensión   µg/m³     49Absorción beta             000312500.00
14Ozono                      µg/m³     06Absorción ultravioleta     000319970.00
82Dirección del viento       Grd       89Meteorología               000303600.00
81Velocidad del viento       m/s       89Meteorología               000350.00.00
83Temperatura media          ºC        89Meteorología               000360.0-0.0
86Humedad relativa           %         89Meteorología               000301000.00
87Presión barométrica        mbar      89Meteorología               000310880820
