28  
Consejería de Medio Ambiente Comunidad de Madrid                                
Princesa,3 planta 9                                                             
28001 MADRID                                                                    
0221
28065012Getafe (nº1)                                        401835N034409W667 15
07Monóxido de nitrógeno      µg/m³     08Quimiluminiscencia         000312480000
08Dióxido de nitrógeno       µg/m³     08Quimiluminiscencia         000319130000
06Monóxido de carbono        mg/m³     48Absorción infrarroja       000365.000.0
10Particulas en suspensión   µg/m³     49Absorción beta             000312500000
14Ozono                      µg/m³     06Absorción ultravioleta     000319970000
82Direccion del viento       Grd       89                           000303600000
81Velocidad del viento       m/s       89                           000350.000.0
83Temperatura media          m³N/h     89                           000360.0-40.
86Humedad relativa           %         89                           000301000000
87Presion Barometrica        Mb        89                           000310880820
88Radiacion solar            W/m²      89                           000325000000
89Precipitacion              l/m²      89                           000350.000.0
30Benceno                    µg/m³     59Cromatografía de gases     0003100000.0
20Tolueno                    µg/m³     59Cromatografía de gases     0003100000.0
31Xileno                     µg/m³     59Cromatografía de gases     0003100000.0
28074007Leganés (nº 2)                                      402023N034516W676 12
07Monóxido de nitrógeno      µg/m³     08Quimiluminiscencia         000312480000
08Dióxido de nitrógeno       µg/m³     08Quimiluminiscencia         000319130000
06Monóxido de carbono        mg/m³     48Absorción infrarroja       000365.000.0
10Particulas en suspensión   µg/m³     49Absorción beta             000312500000
14Ozono                      µg/m³     06Absorción ultravioleta     000319970000
82Direccion del viento       Grd       89                           000303600000
81Velocidad del viento       m/s       89                           000350.000.0
83Temperatura media          ºC        89                           000360.0-40.
86Humedad relativa           %         89                           000301000000
87Presion Barometrica        Mb        89                           000310880820
88Radiacion solar            W/m²      89                           000325000000
89Precipitacion              l/m²      89                           000350.000.0
28005002Alcalá de Henares (nº 3)                            402845N032240W595 13
07Monóxido de nitrógeno      µg/m³     08Quimiluminiscencia         000312480000
08Dióxido de nitrógeno       µg/m³     08Quimiluminiscencia         000319130000
06Monóxido de carbono        mg/m³     48Absorción infrarroja       000365.000.0
10Particulas en suspensión   µg/m³     49Absorción beta             000312500000
14Ozono                      µg/m³     06Absorción ultravioleta     000319970000
82Direccion del viento       Grd       89                           000303600000
81Velocidad del viento       m/s       89                           000350.000.0
83Temperatura media          ºC        89                           000360.0-40.
86Humedad relativa           %         89                           000301000000
87Presion Barometrica        Mb        89                           000310880820
88Radiacion solar            W/m²      89                           000325000000
89Precipitacion              m³/s      89                           000350.000.0
14Ozono                      µg/m3     08Quimiluminiscencia         000319970000
28006004Alcobendas (nº 4)                                   403226"033841W688 17
07Monóxido de nitrógeno      µg/m³     08Quimiluminiscencia         000312480000
08Dióxido de nitrógeno       µg/m³     08Quimiluminiscencia         000319130000
06Monóxido de carbono        mg/m³     48Absorción infrarroja       000365.000.0
10Particulas en suspensión   µg/m3     49Absorción beta             000310000000
14Ozono                      µg/m³     06Absorción ultravioleta     000319970000
82Direccion del viento       Grd       89                           000303600000
81Velocidad del viento       m/s       89                           000350.000.0
83Temperatura media          ºC        89                           000360.0-40.
86Humedad relativa           %         89                           000301000000
87Presion Barometrica        Mb        89                           000310880820
88Radiacion solar            W/m²      89                           000325000000
89Precipitacion              l/m²      89                           000350.000.0
30Benceno                    µg/m3     59Cromatografía de gases     0003100000.0
20Tolueno                    µg/m3     59Cromatografía de gases     0003100000.0
31Xileno                     µg/m3     59Cromatografía de gases     0003100000.0
42Carburos totales           mg/m³     02Ionización llama           0003266200.0
44Hidrocarburos no metánicos mg/m³     02Ionización llama           0003266200.0
28058004Fuenlabrada (nº 5)                                  401652N034806W699 18
07Monóxido de nitrógeno      µg/m3     08Quimiluminiscencia         000312480000
08Dióxido de nitrógeno       µg/m³     08Quimiluminiscencia         000319130000
06Monóxido de carbono        mg/m³     48Absorción infrarroja       000365.000.0
10Particulas en suspensión   µg/m3     49Absorción beta             000312500000
14Ozono                      µg/m³     06Absorción ultravioleta     000319970000
82Direccion del viento       Grd       89                           000303600000
81Velocidad del viento       m/s       89                           000350.000.0
83Temperatura media          ºC        89                           000360.0-40.
86Humedad relativa           %         89                           000301000000
87Presion Barometrica        Mb        89                           000310880820
88Radiacion solar            W/m²      89                           000325000000
89Precipitacion              l/m²      89                           000350.000.0
14Ozono                      µg/m3     08Quimiluminiscencia         000319970000
30Benceno                    µg/m3     59Cromatografía de gases     0003100000.0
20Tolueno                    µg/m3     59Cromatografía de gases     0003100000.0
31Xileno                     µg/m3     59Cromatografía de gases     0003100000.0
42Carburos totales           mg/m³     02Ionización llama           0003266200.0
44Hidrocarburos no metánicos mg/m³     02Ionización llama           0003266200.0
28092005Móstoles (nº 6)                                     401927N035235W660 12
07Monóxido de nitrógeno      µg/m3     08Quimiluminiscencia         000312480000
08Dióxido de nitrógeno       µg/m³     08Quimiluminiscencia         000319130000
06Monóxido de carbono        mg/m³     48Absorción infrarroja       000365.000.0
10Particulas en suspensión   µg/m³     49Absorción beta             000310000000
14Ozono                      µg/m³     06Absorción ultravioleta     000319970000
82Direccion del viento       Grd       89                           000303600000
81Velocidad del viento       m/s       89                           000350.000.0
83Temperatura media          ºC        89                           000360.0-40.
86Humedad relativa           %         89                           000301000000
87Presion Barometrica        Mb        89                           000310880820
88Radiacion solar            W/m²      89                           000325000000
89Precipitacion              l/m²      89                           000350.000.0
28148004Torrejón de Ardoz (nº 7)                            402700N032903W597 17
07Monóxido de nitrógeno      µg/m3     08Quimiluminiscencia         000312480000
08Dióxido de nitrógeno       µg/m³     08Quimiluminiscencia         000319130000
06Monóxido de carbono        mg/m³     48Absorción infrarroja       000365.000.0
10Particulas en suspensión   µg/m3     49Absorción beta             000312500000
14Ozono                      µg/m³     06Absorción ultravioleta     000319970000
82Direccion del viento       Grd       89                           000303600000
81Velocidad del viento       m/s       89                           000350.000.0
83Temperatura media          ºC        89                           000360.0-40.
86Humedad relativa           %         89                           000301000000
87Presion Barometrica        Mb        89                           000310880820
88Radiacion solar            W/m²      89                           000325000000
89Precipitacion              l/m²      89                           000350.000.0
30Benceno                    µg/m³     59Cromatografía de gases     0003100000.0
20Tolueno                    µg/m³     59Cromatografía de gases     0003100000.0
31Xileno                     µg/m³     59Cromatografía de gases     0003100000.0
42Carburos totales           mg/m³     02Ionización llama           0003266200.0
44Hidrocarburos no metánicos mg/m³     02Ionización llama           0003266200.0
28007001Alcorcón (nº 8)                                     402103N034923W709 12
07Monóxido de nitrógeno      µg/m3     08Quimiluminiscencia         000312480000
08Dióxido de nitrógeno       µg/m³     08Quimiluminiscencia         000319130000
06Monóxido de carbono        mg/m³     48Absorción infrarroja       000365.000.0
10Particulas en suspensión   µg/m3     49Absorción beta             000312500000
14Ozono                      µg/m³     06Absorción ultravioleta     000319970000
82Direccion del viento       Grd       89                           000303600000
81Velocidad del viento       m/s       89                           000350.000.0
83Temperatura media          ºC        89                           000360.0-40.
86Humedad relativa           %         89                           000301000000
87Presion Barometrica        Mb        89                           000310880820
88Radiacion solar            W/m²      89                           000325000000
89Precipitacion              l/m²      89                           000350.000.0
28049001Coslada (nº 9)                                      402537N033312W602 12
07Monóxido de nitrógeno      µg/m3     08Quimiluminiscencia         000312480000
08Dióxido de nitrógeno       µg/m³     08Quimiluminiscencia         000319130000
06Monóxido de carbono        mg/m³     48Absorción infrarroja       000365.000.0
10Particulas en suspensión   µg/m3     49Absorción beta             000312500000
14Ozono                      µg/m³     06Absorción ultravioleta     000319970000
82Direccion del viento       Grd       89                           000303600000
81Velocidad del viento       m/s       89                           000350.000.0
83Temperatura media          ºC        89                           000360.0-40.
86Humedad relativa           %         89                           000301000000
87Presion Barometrica        Mb        89                           000310880820
88Radiacion solar            W/m²      89                           000325000000
89Precipitacion              l/m²      89                           000350.000.0
28045002Colmenar Viejo (nº 11)                              403958'034622'905 12
07Monóxido de nitrógeno      µg/m3     08Quimiluminiscencia         000312480000
08Dióxido de nitrógeno       µg/m³     08Quimiluminiscencia         000319130000
06Monóxido de carbono        mg/m³     48Absorción infrarroja       000365.000.0
10Particulas en suspensión   ug/m3     49Absorción beta             000312500000
14Ozono                      µg/m³     06Absorción ultravioleta     000319970000
82Direccion del viento       Grd       89                           000303600000
81Velocidad del viento       m/s       89                           000350.000.0
83Temperatura media          ºC        89                           000360.0-40.
86Humedad relativa           %         89                           000301000000
87Presion Barometrica        Mb        89                           000310880820
88Radiacion solar            W/m²      89                           000325000000
89Precipitacion              l/m²      89                           000350.000.0
28080003Majadahonda (nº 12)                                 402651'035204'360 12
07Monóxido de nitrógeno      µg/m3     08Quimiluminiscencia         000312480000
08Dióxido de nitrógeno       µg/m³     08Quimiluminiscencia         000319130000
06Monóxido de carbono        mg/m³     48Absorción infrarroja       000365.000.0
10Particulas en suspensión   ug/m3     49Absorción beta             000312500000
14Ozono                      µg/m³     06Absorción ultravioleta     000319970000
82Direccion del viento       Grd       89                           000303600000
81Velocidad del viento       m/s       89                           000350.000.0
83Temperatura media          ºC        89                           000360.0-40.
86Humedad relativa           %         89                           000301000000
87Presion Barometrica        Mb        89                           000310880820
88Radiacion solar            W/m²      89                           000325000000
89Precipitacion              l/m²      89                           000350.000.0
28013002Aranjuez (nº 13)                                    400209'033531'501 11
07Monóxido de nitrógeno      µg/m3     08Quimiluminiscencia         000312480000
08Dióxido de nitrógeno       µg/m³     08Quimiluminiscencia         000319130000
10Particulas en suspensión   ug/m3     49Absorción beta             000312500000
14Ozono                      µg/m³     06Absorción ultravioleta     000319970000
82Direccion del viento       Grd       89                           000303600000
81Velocidad del viento       m/s       89                           000350.000.0
83Temperatura media          ºC        89                           000360.0-40.
86Humedad relativa           %         89                           000301000000
87Presion Barometrica        Mb        89                           000310880820
88Radiacion solar            W/m²      89                           000325000000
89Precipitacion              l/m²      89                           000350.000.0
