% nSim ->    2688
%      nExp        nIn        hLS      trFcn         lr        trC
       198         14         24          1       0.10       2000
       199         14         24          1       0.10       5000
       200         14         24          1       0.10       1000
       201         14         24          1       0.05       1000
       202         14         24          1       0.05       2000
       203         14         24          1       0.05       5000
       204         14         24          1       0.05       1000
       205         14         24          1       0.01       1000
       206         14         24          1       0.01       2000
       207         14         24          1       0.01       5000
       208         14         24          1       0.01       1000
       209         14         24          2       0.20       1000
       210         14         24          2       0.20       2000
       211         14         24          2       0.20       5000
       212         14         24          2       0.20       1000
       213         14         24          2       0.10       1000
       214         14         24          2       0.10       2000
       215         14         24          2       0.10       5000
       216         14         24          2       0.10       1000
       217         14         24          2       0.05       1000
       218         14         24          2       0.05       2000
       219         14         24          2       0.05       5000
       220         14         24          2       0.05       1000
       221         14         24          2       0.01       1000
       222         14         24          2       0.01       2000
       223         14         24          2       0.01       5000
       224         14         24          2       0.01       1000
       225         14         24          3       0.20       1000
       226         14         24          3       0.20       2000
       227         14         24          3       0.20       5000
       228         14         24          3       0.20       1000
       229         14         24          3       0.10       1000
       230         14         24          3       0.10       2000
       231         14         24          3       0.10       5000
       232         14         24          3       0.10       1000
       233         14         24          3       0.05       1000
       234         14         24          3       0.05       2000
       235         14         24          3       0.05       5000
       236         14         24          3       0.05       1000
       237         14         24          3       0.01       1000
       238         14         24          3       0.01       2000
       239         14         24          3       0.01       5000
       240         14         24          3       0.01       1000
       241         14         36          1       0.20       1000
       242         14         36          1       0.20       2000
       243         14         36          1       0.20       5000
       244         14         36          1       0.20       1000
       245         14         36          1       0.10       1000
       246         14         36          1       0.10       2000
       247         14         36          1       0.10       5000
       248         14         36          1       0.10       1000
       249         14         36          1       0.05       1000
       250         14         36          1       0.05       2000
       251         14         36          1       0.05       5000
       252         14         36          1       0.05       1000
       253         14         36          1       0.01       1000
       254         14         36          1       0.01       2000
       255         14         36          1       0.01       5000
       256         14         36          1       0.01       1000
       257         14         36          2       0.20       1000
       258         14         36          2       0.20       2000
       259         14         36          2       0.20       5000
       260         14         36          2       0.20       1000
       261         14         36          2       0.10       1000
       262         14         36          2       0.10       2000
       263         14         36          2       0.10       5000
       264         14         36          2       0.10       1000
       265         14         36          2       0.05       1000
       266         14         36          2       0.05       2000
       267         14         36          2       0.05       5000
       268         14         36          2       0.05       1000
       269         14         36          2       0.01       1000
       270         14         36          2       0.01       2000
       271         14         36          2       0.01       5000
       272         14         36          2       0.01       1000
       273         14         36          3       0.20       1000
       274         14         36          3       0.20       2000
       275         14         36          3       0.20       5000
       276         14         36          3       0.20       1000
       277         14         36          3       0.10       1000
       278         14         36          3       0.10       2000
       279         14         36          3       0.10       5000
       280         14         36          3       0.10       1000
       281         14         36          3       0.05       1000
       282         14         36          3       0.05       2000
       283         14         36          3       0.05       5000
       284         14         36          3       0.05       1000
       285         14         36          3       0.01       1000
       286         14         36          3       0.01       2000
       287         14         36          3       0.01       5000
       288         14         36          3       0.01       1000
       289         14         48          1       0.20       1000
       290         14         48          1       0.20       2000
       291         14         48          1       0.20       5000
       292         14         48          1       0.20       1000
       293         14         48          1       0.10       1000
       294         14         48          1       0.10       2000
       295         14         48          1       0.10       5000
       296         14         48          1       0.10       1000
       297         14         48          1       0.05       1000
       298         14         48          1       0.05       2000
       299         14         48          1       0.05       5000
       300         14         48          1       0.05       1000
       301         14         48          1       0.01       1000
       302         14         48          1       0.01       2000
       303         14         48          1       0.01       5000
       304         14         48          1       0.01       1000
       305         14         48          2       0.20       1000
       306         14         48          2       0.20       2000
       307         14         48          2       0.20       5000
       308         14         48          2       0.20       1000
       309         14         48          2       0.10       1000
       310         14         48          2       0.10       2000
       311         14         48          2       0.10       5000
       312         14         48          2       0.10       1000
       313         14         48          2       0.05       1000
       314         14         48          2       0.05       2000
       315         14         48          2       0.05       5000
       316         14         48          2       0.05       1000
       317         14         48          2       0.01       1000
       318         14         48          2       0.01       2000
       319         14         48          2       0.01       5000
       320         14         48          2       0.01       1000
       321         14         48          3       0.20       1000
       322         14         48          3       0.20       2000
       323         14         48          3       0.20       5000
       324         14         48          3       0.20       1000
       325         14         48          3       0.10       1000
       326         14         48          3       0.10       2000
       327         14         48          3       0.10       5000
       328         14         48          3       0.10       1000
       329         14         48          3       0.05       1000
       330         14         48          3       0.05       2000
       331         14         48          3       0.05       5000
       332         14         48          3       0.05       1000
       333         14         48          3       0.01       1000
       334         14         48          3       0.01       2000
       335         14         48          3       0.01       5000
       336         14         48          3       0.01       1000
       337         14         50          1       0.20       1000
       338         14         50          1       0.20       2000
       339         14         50          1       0.20       5000
       340         14         50          1       0.20       1000
       341         14         50          1       0.10       1000
       342         14         50          1       0.10       2000
       343         14         50          1       0.10       5000
       344         14         50          1       0.10       1000
       345         14         50          1       0.05       1000
       346         14         50          1       0.05       2000
       347         14         50          1       0.05       5000
       348         14         50          1       0.05       1000
       349         14         50          1       0.01       1000
       350         14         50          1       0.01       2000
       351         14         50          1       0.01       5000
       352         14         50          1       0.01       1000
       353         14         50          2       0.20       1000
       354         14         50          2       0.20       2000
       355         14         50          2       0.20       5000
       356         14         50          2       0.20       1000
       357         14         50          2       0.10       1000
       358         14         50          2       0.10       2000
       359         14         50          2       0.10       5000
       360         14         50          2       0.10       1000
       361         14         50          2       0.05       1000
       362         14         50          2       0.05       2000
       363         14         50          2       0.05       5000
       364         14         50          2       0.05       1000
       365         14         50          2       0.01       1000
       366         14         50          2       0.01       2000
       367         14         50          2       0.01       5000
       368         14         50          2       0.01       1000
       369         14         50          3       0.20       1000
       370         14         50          3       0.20       2000
       371         14         50          3       0.20       5000
       372         14         50          3       0.20       1000
       373         14         50          3       0.10       1000
       374         14         50          3       0.10       2000
       375         14         50          3       0.10       5000
       376         14         50          3       0.10       1000
       377         14         50          3       0.05       1000
       378         14         50          3       0.05       2000
       379         14         50          3       0.05       5000
       380         14         50          3       0.05       1000
       381         14         50          3       0.01       1000
       382         14         50          3       0.01       2000
       383         14         50          3       0.01       5000
       384         14         50          3       0.01       1000
       385         28          6          1       0.20       1000
       386         28          6          1       0.20       2000
       387         28          6          1       0.20       5000
       388         28          6          1       0.20       1000
       389         28          6          1       0.10       1000
       390         28          6          1       0.10       2000
       391         28          6          1       0.10       5000
       392         28          6          1       0.10       1000
       393         28          6          1       0.05       1000
       394         28          6          1       0.05       2000
       395         28          6          1       0.05       5000
       396         28          6          1       0.05       1000
       397         28          6          1       0.01       1000
       398         28          6          1       0.01       2000
       399         28          6          1       0.01       5000
       400         28          6          1       0.01       1000
       401         28          6          2       0.20       1000
       402         28          6          2       0.20       2000
       403         28          6          2       0.20       5000
       404         28          6          2       0.20       1000
       405         28          6          2       0.10       1000
       406         28          6          2       0.10       2000
       407         28          6          2       0.10       5000
       408         28          6          2       0.10       1000
       409         28          6          2       0.05       1000
       410         28          6          2       0.05       2000
       411         28          6          2       0.05       5000
       412         28          6          2       0.05       1000
       413         28          6          2       0.01       1000
       414         28          6          2       0.01       2000
       415         28          6          2       0.01       5000
       416         28          6          2       0.01       1000
       417         28          6          3       0.20       1000
       418         28          6          3       0.20       2000
       419         28          6          3       0.20       5000
       420         28          6          3       0.20       1000
       421         28          6          3       0.10       1000
       422         28          6          3       0.10       2000
       423         28          6          3       0.10       5000
       424         28          6          3       0.10       1000
       425         28          6          3       0.05       1000
       426         28          6          3       0.05       2000
       427         28          6          3       0.05       5000
       428         28          6          3       0.05       1000
       429         28          6          3       0.01       1000
       430         28          6          3       0.01       2000
       431         28          6          3       0.01       5000
       432         28          6          3       0.01       1000
       433         28         12          1       0.20       1000
       434         28         12          1       0.20       2000
       435         28         12          1       0.20       5000
       436         28         12          1       0.20       1000
       437         28         12          1       0.10       1000
       438         28         12          1       0.10       2000
       439         28         12          1       0.10       5000
       440         28         12          1       0.10       1000
       441         28         12          1       0.05       1000
       442         28         12          1       0.05       2000
       443         28         12          1       0.05       5000
       444         28         12          1       0.05       1000
       445         28         12          1       0.01       1000
       446         28         12          1       0.01       2000
       447         28         12          1       0.01       5000
       448         28         12          1       0.01       1000
       449         28         12          2       0.20       1000
       450         28         12          2       0.20       2000
       451         28         12          2       0.20       5000
       452         28         12          2       0.20       1000
       453         28         12          2       0.10       1000
       454         28         12          2       0.10       2000
       455         28         12          2       0.10       5000
       456         28         12          2       0.10       1000
       457         28         12          2       0.05       1000
       458         28         12          2       0.05       2000
       459         28         12          2       0.05       5000
       460         28         12          2       0.05       1000
       461         28         12          2       0.01       1000
       462         28         12          2       0.01       2000
       463         28         12          2       0.01       5000
       464         28         12          2       0.01       1000
       465         28         12          3       0.20       1000
       466         28         12          3       0.20       2000
       467         28         12          3       0.20       5000
       468         28         12          3       0.20       1000
       469         28         12          3       0.10       1000
       470         28         12          3       0.10       2000
       471         28         12          3       0.10       5000
       472         28         12          3       0.10       1000
       473         28         12          3       0.05       1000
       474         28         12          3       0.05       2000
       475         28         12          3       0.05       5000
       476         28         12          3       0.05       1000
       477         28         12          3       0.01       1000
       478         28         12          3       0.01       2000
       479         28         12          3       0.01       5000
       480         28         12          3       0.01       1000
       481         28         18          1       0.20       1000
       482         28         18          1       0.20       2000
       483         28         18          1       0.20       5000
       484         28         18          1       0.20       1000
       485         28         18          1       0.10       1000
       486         28         18          1       0.10       2000
       487         28         18          1       0.10       5000
       488         28         18          1       0.10       1000
       489         28         18          1       0.05       1000
       490         28         18          1       0.05       2000
       491         28         18          1       0.05       5000
       492         28         18          1       0.05       1000
       493         28         18          1       0.01       1000
       494         28         18          1       0.01       2000
       495         28         18          1       0.01       5000
       496         28         18          1       0.01       1000
       497         28         18          2       0.20       1000
       498         28         18          2       0.20       2000
       499         28         18          2       0.20       5000
       500         28         18          2       0.20       1000
       501         28         18          2       0.10       1000
       502         28         18          2       0.10       2000
       503         28         18          2       0.10       5000
       504         28         18          2       0.10       1000
       505         28         18          2       0.05       1000
       506         28         18          2       0.05       2000
       507         28         18          2       0.05       5000
       508         28         18          2       0.05       1000
       509         28         18          2       0.01       1000
       510         28         18          2       0.01       2000
       511         28         18          2       0.01       5000
       512         28         18          2       0.01       1000
       513         28         18          3       0.20       1000
       514         28         18          3       0.20       2000
       515         28         18          3       0.20       5000
       516         28         18          3       0.20       1000
       517         28         18          3       0.10       1000
       518         28         18          3       0.10       2000
       519         28         18          3       0.10       5000
       520         28         18          3       0.10       1000
       521         28         18          3       0.05       1000
       522         28         18          3       0.05       2000
       523         28         18          3       0.05       5000
       524         28         18          3       0.05       1000
       525         28         18          3       0.01       1000
       526         28         18          3       0.01       2000
       527         28         18          3       0.01       5000
       528         28         18          3       0.01       1000
       529         28         24          1       0.20       1000
       530         28         24          1       0.20       2000
       531         28         24          1       0.20       5000
       532         28         24          1       0.20       1000
       533         28         24          1       0.10       1000
       534         28         24          1       0.10       2000
       535         28         24          1       0.10       5000
       536         28         24          1       0.10       1000
       537         28         24          1       0.05       1000
       538         28         24          1       0.05       2000
       539         28         24          1       0.05       5000
       540         28         24          1       0.05       1000
       541         28         24          1       0.01       1000
       542         28         24          1       0.01       2000
       543         28         24          1       0.01       5000
       544         28         24          1       0.01       1000
       545         28         24          2       0.20       1000
       546         28         24          2       0.20       2000
       547         28         24          2       0.20       5000
       548         28         24          2       0.20       1000
       549         28         24          2       0.10       1000
       550         28         24          2       0.10       2000
       551         28         24          2       0.10       5000
       552         28         24          2       0.10       1000
       553         28         24          2       0.05       1000
       554         28         24          2       0.05       2000
       555         28         24          2       0.05       5000
       556         28         24          2       0.05       1000
       557         28         24          2       0.01       1000
       558         28         24          2       0.01       2000
       559         28         24          2       0.01       5000
       560         28         24          2       0.01       1000
       561         28         24          3       0.20       1000
