% nSim ->    1944
%      nExp        nIn        hLS      trFcn         lr        trC
       198          7         24          1       0.05       5000
       199          7         24          5       0.20       1000
       200          7         24          5       0.20       2000
       201          7         24          5       0.20       5000
       202          7         24          5       0.10       1000
       203          7         24          5       0.10       2000
       204          7         24          5       0.10       5000
       205          7         24          5       0.05       1000
       206          7         24          5       0.05       2000
       207          7         24          5       0.05       5000
       208          7         24          6       0.20       1000
       209          7         24          6       0.20       2000
       210          7         24          6       0.20       5000
       211          7         24          6       0.10       1000
       212          7         24          6       0.10       2000
       213          7         24          6       0.10       5000
       214          7         24          6       0.05       1000
       215          7         24          6       0.05       2000
       216          7         24          6       0.05       5000
       217         14          6          1       0.20       1000
       218         14          6          1       0.20       2000
       219         14          6          1       0.20       5000
       220         14          6          1       0.10       1000
       221         14          6          1       0.10       2000
       222         14          6          1       0.10       5000
       223         14          6          1       0.05       1000
       224         14          6          1       0.05       2000
       225         14          6          1       0.05       5000
       226         14          6          5       0.20       1000
       227         14          6          5       0.20       2000
       228         14          6          5       0.20       5000
       229         14          6          5       0.10       1000
       230         14          6          5       0.10       2000
       231         14          6          5       0.10       5000
       232         14          6          5       0.05       1000
       233         14          6          5       0.05       2000
       234         14          6          5       0.05       5000
       235         14          6          6       0.20       1000
       236         14          6          6       0.20       2000
       237         14          6          6       0.20       5000
       238         14          6          6       0.10       1000
       239         14          6          6       0.10       2000
       240         14          6          6       0.10       5000
       241         14          6          6       0.05       1000
       242         14          6          6       0.05       2000
       243         14          6          6       0.05       5000
       244         14          9          1       0.20       1000
       245         14          9          1       0.20       2000
       246         14          9          1       0.20       5000
       247         14          9          1       0.10       1000
       248         14          9          1       0.10       2000
       249         14          9          1       0.10       5000
       250         14          9          1       0.05       1000
       251         14          9          1       0.05       2000
       252         14          9          1       0.05       5000
       253         14          9          5       0.20       1000
       254         14          9          5       0.20       2000
       255         14          9          5       0.20       5000
       256         14          9          5       0.10       1000
       257         14          9          5       0.10       2000
       258         14          9          5       0.10       5000
       259         14          9          5       0.05       1000
       260         14          9          5       0.05       2000
