% nSim ->       8
%      nExp        nIn        hLS      trFcn         lr        trC
         1         14         12          5       0.10       500
         2         14         12          6       0.10       500
         3         14         24          5       0.10       500
         4         14         24          6       0.10       500
         5         28         24          5       0.10       500
         6         28         24          6       0.10       500
         7         28         48          5       0.10       500
         8         28         48          6       0.10       500
