12 01 01 01 00099
12 01 01 02 00101
12 01 01 03 00081
12 01 01 04 00064
12 01 01 05 00062
12 01 01 06 00057
12 01 01 07 00055
12 01 01 08 00056
12 01 01 09 00060
12 01 01 10 00042
12 01 01 11 00033
12 01 01 12 00041
12 01 01 13 00061
12 01 01 14 00065
12 01 01 15 00053
12 01 01 16 00052
12 01 01 17 00045
12 01 01 18 00061
12 01 01 19 00081
12 01 01 20 00075
12 01 01 21 00061
12 01 01 22 00044
12 01 01 23 00029
12 01 01 24 00025
12 01 02 01 00018
12 01 02 02 00014
12 01 02 03 00012
12 01 02 04 00007
12 01 02 05 00007
12 01 02 06 00010
12 01 02 07 00021
12 01 02 08 00046
12 01 02 09 00058
12 01 02 10 00055
12 01 02 11 00062
12 01 02 12 00061
12 01 02 13 00045
12 01 02 14 00039
12 01 02 15 00036
12 01 02 16 00038
12 01 02 17 00033
12 01 02 18 00048
12 01 02 19 00067
12 01 02 20 00064
12 01 02 21 00074
12 01 02 22 00077
12 01 02 23 00060
12 01 02 24 00043
12 01 03 01 00035
12 01 03 02 00026
12 01 03 03 00026
12 01 03 04 00025
12 01 03 05 00023
12 01 03 06 00034
12 01 03 07 00072
12 01 03 08 00071
12 01 03 09 00075
12 01 03 10 00060
12 01 03 11 00052
12 01 03 12 00054
12 01 03 13 00101
12 01 03 14 00096
12 01 03 15 00087
12 01 03 16 00076
12 01 03 17 00068
12 01 03 18 00072
12 01 03 19 00078
12 01 03 20 00095
12 01 03 21 00115
12 01 03 22 00105
12 01 03 23 00114
12 01 03 24 00084
12 01 04 01 00063
12 01 04 02 00053
12 01 04 03 00034
12 01 04 04 00029
12 01 04 05 00028
12 01 04 06 00028
12 01 04 07 00035
12 01 04 08 00062
12 01 04 09 00102
12 01 04 10 00111
12 01 04 11 00125
12 01 04 12 00112
12 01 04 13 00117
12 01 04 14 00141
12 01 04 15 00118
12 01 04 16 00084
12 01 04 17 00091
12 01 04 18 00092
12 01 04 19 00103
12 01 04 20 00129
12 01 04 21 00184
12 01 04 22 00141
12 01 04 23 00153
12 01 04 24 00144
12 01 05 01 00110
12 01 05 02 00085
12 01 05 03 00103
12 01 05 04 00099
12 01 05 05 00096
12 01 05 06 00093
12 01 05 07 00103
12 01 05 08 00110
12 01 05 09 00133
12 01 05 10 00088
12 01 05 11 00072
12 01 05 12 00118
12 01 05 13 00161
12 01 05 14 00130
12 01 05 15 00114
12 01 05 16 00101
12 01 05 17 00085
12 01 05 18 00089
12 01 05 19 00092
12 01 05 20 00109
12 01 05 21 00089
12 01 05 22 00080
12 01 05 23 00107
12 01 05 24 00100
12 01 06 01 00087
12 01 06 02 00101
12 01 06 03 00114
12 01 06 04 00092
12 01 06 05 00078
12 01 06 06 00066
12 01 06 07 00082
