Pre-process PC 08  SC 47  yB 0 
	 value yy mm dd hh
	000001 15  1 11 15
	000001 15  1 11 16
	000001 15  1 11 17
	000001 15  1 11 18
	000001 15  1 11 19
	000001 15  1 11 20
	000001 15  1 11 21
	000001 15  1 11 22
	000001 15  1 11 23
	000001 15  1 11 24
	000001 15  1 12  1
	000001 15  1 12  2
	000001 15  1 12  3
	000001 15  1 12  4
	000001 15  1 12  5
	000001 15  1 12  6
	000001 15  1 12  7
	000001 15  1 12  8
	000001 15  1 12  9
	000001 15  1 12 10
	000001 15  1 12 11
	000001 15  1 12 12
	000001 15  1 12 13
	000001 15  1 12 14
	000001 15  1 12 15
	000001 15  1 12 16
	000001 15  1 12 17
	000001 15  1 12 18
	000001 15  1 12 19
	000001 15  1 12 20
	000001 15  1 12 21
	000001 15  1 12 22
	000001 15  1 12 23
	000001 15  1 12 24
	000001 15  1 13  1
	000001 15  1 13  2
	000001 15  1 13  3
	000001 15  1 13  4
	000001 15  1 13  5
	000001 15  1 13  6
	000001 15  1 13  7
	000001 15  1 13  8
	000001 15  1 13  9
	000001 15  1 13 10
	000001 15  1 13 11
	000001 15  1 13 12
	000001 15  1 13 13
	000001 15  1 13 14
	000001 15  1 13 15
	000001 15  1 13 16
	000001 15  1 13 17
	000001 15  1 13 18
	000001 15  1 13 19
	000001 15  1 13 20
	000001 15  1 13 21
	000001 15  1 13 22
	000001 15  1 13 23
	000001 15  1 13 24
	000001 15  1 14  1
	000001 15  1 14  2
	000001 15  1 14  3
	000001 15  1 14  4
	000001 15  1 14  5
	000001 15  1 14  6
	000001 15  1 14  7
	000001 15  1 14  8
	000001 15  1 14  9
	000001 15  1 14 10
	000001 15  1 14 11
	000001 15  1 14 12
	000001 15  1 14 13
	000001 15  1 14 14
	000001 15  1 14 15
	000001 15  1 14 16
	000001 15  1 14 17
	000001 15  1 14 18
	000001 15  1 14 19
	000001 15  1 14 20
	000001 15  1 14 21
	000001 15  1 14 22
	000001 15  1 14 23
	000001 15  1 14 24
	000001 15  1 15  1
	000001 15  1 15  2
	000001 15  1 15  3
	000001 15  1 15  4
	000001 15  1 15  5
	000001 15  1 15  6
	000001 15  1 15  7
	000001 15  1 15  8
	000001 15  1 15  9
	000001 15  1 15 10
	000001 15  1 15 11
	000001 15  1 15 12
	000001 15  1 15 13
	000001 15  1 15 14
	000001 15  1 15 15
	000001 15  1 15 16
	000001 15  1 15 17
	000001 15  1 15 18
	000001 15  1 15 19
	000001 15  1 15 20
	000001 15  1 15 21
	000001 15  1 15 22
	000001 15  1 15 23
	000001 15  1 15 24
	000001 15  1 16  1
	000001 15  1 16  2
	000001 15  1 16  3
	000001 15  1 16  4
	000001 15  1 16  5
	000001 15  1 16  6
	000001 15  1 16  7
	000001 15  1 16  8
	000001 15  1 16  9
	000001 15  1 16 10
	000001 15  1 16 11
	000001 15  1 16 12
	000001 15  1 16 13
	000001 15  1 16 14
	000001 15  1 16 15
	000001 15  1 16 16
	000001 15  1 16 17
	000001 15  1 16 18
	000001 15  1 16 19
	000001 15  1 16 20
	000001 15  1 16 21
	000001 15  1 16 22
	000001 15  1 16 23
	000001 15  1 16 24
	000001 15  1 17  1
	000001 15  1 17  2
	000001 15  1 17  3
	000001 15  1 17  4
	000001 15  1 17  5
	000001 15  1 17  6
	000001 15  1 17  7
	000001 15  1 17  8
	000001 15  1 17  9
	000001 15  1 17 10
	000001 15  1 17 11
	000001 15  1 17 12
	000001 15  1 17 13
	000001 15  1 17 14
	000001 15  1 17 15
	000001 15  1 17 16
	000001 15  1 17 17
	000001 15  1 17 18
	000001 15  1 17 19
	000001 15  1 17 20
	000001 15  1 17 21
	000001 15  1 17 22
	000001 15  1 17 23
	000001 15  1 17 24
	000001 15  1 18  1
	000001 15  1 18  2
	000001 15  1 18  3
	000001 15  1 18  4
	000001 15  1 18  5
	000001 15  1 18  6
	000001 15  1 18  7
	000001 15  1 18  8
	000001 15  1 18  9
	000001 15  1 18 10
	000001 15  1 18 11
	000001 15  1 18 12
	000001 15  1 18 13
	000001 15  1 18 14
	000001 15  1 18 15
	000001 15  1 18 16
	000001 15  1 18 17
	000001 15  1 18 18
	000001 15  1 18 19
	000001 15  1 18 20
	000001 15  1 18 21
	000001 15  1 18 22
	000001 15  1 18 23
	000001 15  1 18 24
	000001 15  1 19  1
	000001 15  1 19  2
	000001 15  1 19  3
	000001 15  1 19  4
	000001 15  1 19  5
	000001 15  1 19  6
	000001 15  1 19  7
	000001 15  1 19  8
	000001 15  1 19  9
	000001 15  1 19 10
	000001 15  1 19 11
	000001 15  1 19 12
	000001 15  1 19 13
	000001 15  1 19 14
	000001 15  1 19 15
	000001 15  1 19 16
	000001 15  1 19 17
	000001 15  1 19 18
	000001 15  1 19 19
	000001 15  1 19 20
	000001 15  1 19 21
	000001 15  1 19 22
	000001 15  1 19 23
	000001 15  1 19 24
	000001 15  1 20  1
	000001 15  1 20  2
	000001 15  1 20  3
	000001 15  1 20  4
	000001 15  1 20  5
	000001 15  1 20  6
	000001 15  1 20  7
	000001 15  1 20  8
	000001 15  1 20  9
	000001 15  1 20 10
	000001 15  1 20 11
	000001 15  1 20 12
	000001 15  2  6 10
	000001 15  2  6 11
	000001 15  3 10 10
	000001 15  3 10 11
	000001 15  3 10 12
	000001 15  3 10 13
	000001 15  3 10 14
	000001 15  3 10 15
	000001 15  3 10 16
	000002 15  3 10 17
	000001 15  3 11 10
	000015 15  3 11 11
	000000 15  3 29  3
	000001 15  4 13 12
	000001 15  4 13 13
	000004 15  4 13 14
	000002 15  5 26 10
	000000 15  5 28 17
	000001 15  7  2 11
	000002 15  7  2 12
	000010 15  7 19 16
	000274 15  7 19 17
	000001 15  9 18 20
	000000 15  9 18 21
	000000 15  9 18 22
	000000 15  9 18 23
	000000 15  9 18 24
	000000 15  9 19  1
	000000 15  9 19  2
	000000 15  9 19  3
	000000 15  9 19  4
	000000 15  9 19  5
	000000 15  9 19  6
	000000 15  9 19  7
	000000 15  9 19  8
	000001 15  9 19  9
	000001 15  9 19 10
	000005 15 10 15 11
	000000 15 10 15 12
	000000 15 10 15 13
	000000 15 10 15 14
	000001 15 10 15 15
	000001 15 10 15 16
	000002 15 10 15 17
	000001 15 10 16 14
	000003 15 10 16 15
	000000 15 10 21 14
	000000 15 10 21 15
	000000 15 10 21 16
	000000 15 10 21 17
	000000 15 10 21 18
	000001 15 10 21 19
	000001 15 10 21 20
	000003 15 10 21 21
	000001 15 10 22 10
	000005 15 10 22 11
	000001 15 11 13 10
	000001 15 11 13 11
	000001 15 12  2 10
	000009 15 12  2 11
	000001 16  1 18 12
	000003 16  1 18 13
	000000 16  2 13 17
	000000 16  2 13 18
	000000 16  2 13 19
	000001 16  2 13 20
	000004 16  2 19 14
	000002 16  2 19 15
	000001 16  3 14 16
	000005 16  3 14 17
	000000 16  3 27  3
	000001 16  4  5 15
	000001 16  4  5 16
	000001 16  4  5 17
	000015 16  5  6  9
	000001 16  5  6 10
	000001 16  5  6 11
	000008 16  5 12 10
	000001 16  5 12 11
	000005 16  5 25 20
	000000 16  5 25 21
	000000 16  5 25 22
	000000 16  5 25 23
	000000 16  5 25 24
	000000 16  5 26  1
	000000 16  5 26  2
	000000 16  5 26  3
	000000 16  5 26  4
	000000 16  5 26  5
	000000 16  5 26  6
	000000 16  5 26  7
	000000 16  5 26  8
	000001 16  5 26  9
	000001 16  5 26 10
	000003 16  5 26 11
	000001 16  6  9 10
	000005 16  6  9 11
	000006 16  7 19 11
	000001 16  7 19 12
	000003 16  7 19 13
	000001 16  7 20 12
	000004 16  7 20 13
	000001 16  7 26 13
	000001 16  7 26 14
	000009 16  7 26 15
	000001 16  8 10 15
	000001 16  8 10 16
	000001 16  8 10 17
	000001 16  9 26 10
	000002 16  9 26 11
	000001 16 10 11 10
	000007 16 10 11 11
	000020 16 10 19 10
	000001 16 10 19 11
	000005 16 10 19 12
	000008 16 11  7 13
	000000 16 11  7 14
	000000 16 11  7 15
	000000 16 11  7 16
	000001 16 11  7 17
	000004 16 11  7 18
	000019 16 11 11 20
	000000 16 11 11 21
	000000 16 11 11 22
	000000 16 11 11 23
	000000 16 11 11 24
	000000 16 11 12  1
	000000 16 11 12  2
	000000 16 11 12  3
	000000 16 11 12  4
	000000 16 11 12  5
	000000 16 11 12  6
	000000 16 11 12  7
	000000 16 11 12  8
	000000 16 11 12  9
	000001 16 11 12 10
	000001 16 11 12 11
	000006 16 11 12 12
	000003 16 11 21 14
	000000 16 11 21 15
	000000 16 11 21 16
	000001 16 11 21 17
	000001 16 11 21 18
	000004 16 11 21 19
	000000 16 11 27 18
	000000 16 11 27 19
	000000 16 11 27 20
	000000 16 11 27 21
	000000 16 11 27 22
	000000 16 11 27 23
	000000 16 11 27 24
	000000 16 11 28  1
	000000 16 11 28  2
	000000 16 11 28  3
	000000 16 11 28  4
	000000 16 11 28  5
	000000 16 11 28  6
	000000 16 11 28  7
	000001 16 11 28  8
	000001 16 11 28  9
	000002 16 11 28 10
	000016 16 12  2  8
	000001 16 12  2  9
	000006 16 12  2 10
	000017 16 12 16 11
	000001 16 12 16 12
	000003 16 12 16 13
	000020 16 12 29 11
	000001 16 12 29 12
	000006 16 12 29 13
   -> notV 0000599 of 0043848 (1.37 prctg)
Pre-process PC 09  SC 50  yB 0 
	 value yy mm dd hh
	000000 12  1 16 12
	000007 12  1 23 14
	000000 12  1 23 15
	000000 12  1 23 16
	000000 12  1 23 17
	000000 12  1 23 18
	000000 12  1 23 19
	000000 12  1 23 20
	000000 12  1 23 21
	000000 12  1 23 22
	000000 12  1 23 23
	000000 12  1 23 24
	000012 12  2  8 11
	000000 12  2  8 12
	000000 12  2  8 13
	000015 12  2  8 14
	000000 12  3 25  3
	000003 12  4 10 13
	000000 12  4 10 14
	000000 12  4 10 15
	000000 12  4 10 16
	000000 12  4 10 17
	000103 12  4 10 18
	000097 12  4 10 21
	000000 12  5  8 13
	000000 12  5  8 14
	000000 12  5  8 15
	000000 12  5  8 16
	000000 12  5  8 17
	000041 12  5  8 20
	000004 12  5 13 12
	000001 12  5 31 15
	000001 12  6 29 11
	000064 12  7 16 18
	000015 12  7 21  2
	000001 12  7 21  3
	000001 12  7 21  4
	000001 12  7 21  5
	000001 12  7 21  6
	000001 12  7 21  7
	000001 12  7 21  8
	000001 12  7 21  9
	000001 12  7 21 10
	000001 12  7 21 11
	000001 12  7 21 12
	000000 12  7 21 13
	000000 12  7 21 14
	000000 12  7 21 15
	000000 12  7 21 16
	000000 12  7 21 17
	000000 12  7 21 18
	000000 12  7 21 19
	000000 12  7 21 20
	000000 12  7 21 21
	000000 12  7 21 22
	000000 12  7 21 23
	000000 12  7 21 24
	000000 12  7 23  1
	000000 12  7 23  2
	000000 12  7 23  3
	000000 12  7 23  4
	000000 12  7 23  5
	000000 12  7 23  6
	000000 12  7 23  7
	000000 12  7 23  8
	000000 12  7 23  9
	000000 12  7 23 10
	000001 12  7 23 11
	000030 12  7 27 14
	000098 12  7 29  9
	000092 12  7 29 12
	000010 12  9  7 12
	000000 12  9  7 13
	000000 12  9  7 14
	000055 12  9  7 15
	000001 12  9 17 12
	000001 12  9 17 13
	000001 12  9 17 14
	000202 12  9 18 15
	000187 12  9 18 16
	000104 12  9 18 17
	000100 12  9 18 20
	000071 12  9 18 21
	000048 12  9 19 17
	000059 12  9 19 18
	000041 12  9 19 19
	000027 12 10  9 14
	000024 12 10 10 14
	000010 12 10 10 15
	000013 12 10 23 15
	000003 12 10 27 18
	000028 12 11 26 10
	000004 12 12  5  1
	000010 12 12 21 11
	000008 13  1  4 12
	000021 13  1  8 15
	000000 13  1  8 16
	000000 13  1  8 17
	000000 13  1  8 18
	000001 13  1  8 19
	000004 13  1 13 11
	000018 13  1 14 10
	000009 13  1 14 12
	000008 13  1 14 14
	000013 13  1 23 20
	000015 13  1 25  8
	000004 13  1 26  8
	000000 13  1 26  9
	000000 13  1 26 10
	000000 13  1 26 11
	000000 13  1 26 12
	000000 13  1 26 13
	000000 13  1 26 14
	000000 13  1 26 15
	000000 13  1 26 16
	000000 13  1 26 17
	000000 13  1 26 18
	000000 13  1 26 19
	000000 13  1 26 20
	000000 13  1 26 21
	000000 13  1 26 22
	000000 13  1 26 23
	000000 13  1 26 24
	000000 13  1 27  1
	000000 13  1 27  2
	000000 13  1 27  3
	000000 13  1 27  4
	000000 13  1 27  5
	000000 13  1 27  6
	000000 13  1 27  7
	000000 13  1 27  8
	000000 13  1 27  9
	000000 13  1 27 10
	000000 13  1 27 11
	000013 13  1 27 12
	000039 13  1 28 13
	000005 13  2  3 15
	000007 13  2 11 12
	000013 13  2 20 10
	000024 13  2 20 13
	000000 13  2 21  3
	000000 13  2 21  4
	000000 13  2 21  5
	000000 13  2 21  6
	000000 13  2 21  7
	000000 13  2 21  8
	000000 13  2 21  9
	000020 13  2 21 10
	000040 13  2 25 17
	000036 13  3  4 14
	000012 13  3  4 15
	000058 13  3  4 16
	000043 13  3  4 17
	000010 13  3 15 21
	000014 13  3 21 12
	000008 13  3 21 14
	000000 13  3 21 15
	000000 13  3 21 16
	000000 13  3 22 12
	000000 13  3 22 13
	000053 13  3 22 14
	000000 13  3 22 15
	000016 13  3 22 16
	000000 13  3 31  3
	000001 13  4  3 15
	000001 13  4  3 16
	000056 13  4  4 15
	000012 13  5 16 10
	000001 13  5 16 11
	001748 13  7 29 11
	000811 13  7 29 12
	000437 13  7 29 13
	000306 13  7 29 14
	000210 13  7 29 15
	000137 13  7 29 16
	000112 13  7 29 17
	000044 13  7 29 18
	000001 13  7 29 19
	000004 13  7 29 20
	000001 13  7 29 21
	000001 13  7 29 22
	000001 13  7 29 23
	000001 13  7 29 24
	000001 13  7 30  1
	000001 13  7 30  2
	000001 13  7 30  3
	000001 13  7 30  4
	000001 13  7 30  5
	000001 13  7 30  6
	000001 13  7 30  7
	000001 13  7 30  8
	000001 13  7 30  9
	000001 13  7 30 10
	000001 13  7 30 11
	000001 13  7 30 12
	000006 13 10  2 14
	000001 13 10  2 15
	001030 13 10  2 16
	000579 13 10  2 17
	000396 13 10  2 18
	000104 13 10  2 19
	000105 13 10  2 20
	000111 13 10  2 21
	000013 13 10  2 22
	000216 13 10  2 23
	000004 13 10  2 24
	000053 13 10  3  1
	000017 13 10  3  2
	000028 13 10  3  3
	000015 13 10  3  4
	000115 13 10  3  5
	000281 13 10  3  6
	000171 13 10  3  7
	000001 13 10  3  8
	000561 13 10  3  9
	000295 13 10  3 10
	000306 13 10  3 11
	000766 13 10  3 12
	000001 13 10  3 13
	001060 13 10  3 14
	000001 13 10  3 15
	000022 13 11  6 11
	000013 13 12  9 11
	000051 13 12 17 12
	003582 14  1  7  6
	000070 14  1  7  7
	000001 14  1  8 12
	000001 14  2 17 10
	000000 14  2 24  8
	000000 14  2 24  9
	000000 14  2 24 10
	000000 14  2 24 11
	000008 14  2 24 12
	000010 14  3 10 10
	000000 14  3 30  3
	000001 14  4 10 11
	000050 14  5  1 15
	000040 14  5  4 15
	000039 14  5  4 18
	000097 14  5  8 13
	000054 14  5  9 19
	000067 14  5  9 20
	000026 14  5 11 24
	000064 14  5 12  1
	000042 14  5 15 20
	000037 14  5 16 20
	000068 14  5 18 20
	000075 14  5 18 21
	000001 14  5 20 10
	000029 14  5 23 14
	000071 14  5 24 19
	000041 14  5 24 21
	000038 14  5 27 17
	000001 14  5 29 14
	000003 14  6 12 15
	000013 14  6 27 12
	000010 14  7 22 14
	000003 14  8  4 16
	000010 14  8 19  9
	000000 14  8 19 10
	000000 14  8 19 11
	000006 14  8 19 12
	000001 14  9 15  8
	000001 14  9 19 14
	000001 14 10 10 13
	000124 14 10 30 11
	000064 14 10 30 12
	000001 14 11  9  6
	000000 14 11  9  7
	000000 14 11  9  8
	000000 14 11  9  9
	000000 14 11  9 10
	000000 14 11  9 11
	000002 14 11  9 12
	000001 14 11 18 12
	000018 14 11 24 12
	000093 14 11 24 13
	000018 14 11 24 14
	000054 14 11 24 18
	000030 14 11 25  9
	000103 14 11 25 10
	000061 14 11 25 11
	000041 14 11 25 12
	000031 14 11 25 13
	000028 14 11 25 14
	000000 14 11 25 15
	000000 14 11 25 16
	000000 14 11 25 17
	000000 14 11 25 18
	000000 14 11 25 19
	000000 14 11 25 20
	000000 14 11 25 21
	000000 14 11 25 22
	000000 14 11 25 23
	000000 14 11 25 24
	000000 14 11 26  1
	000000 14 11 26  2
	000000 14 11 26  3
	000000 14 11 26  4
	000000 14 11 26  5
	000000 14 11 26  6
	000000 14 11 26  7
	000000 14 11 26  8
	000000 14 11 26  9
	000000 14 11 26 10
	000000 14 11 26 11
	000001 14 11 26 12
	000001 14 11 26 13
	000007 14 12 11 12
	000021 14 12 11 13
	000027 14 12 12 10
	000000 14 12 12 11
	000000 14 12 12 12
	000000 14 12 12 13
	000000 14 12 12 14
	000001 14 12 12 15
	000001 14 12 12 16
	002447 14 12 13 12
	000010 14 12 15 21
	000028 14 12 18 11
	000007 14 12 19 13
	000011 14 12 20  3
	000008 14 12 20  4
	000004 14 12 20  5
	000005 14 12 20  6
	000004 14 12 20  7
	000007 14 12 20  8
	000007 14 12 20  9
	000007 14 12 20 10
	000004 14 12 20 14
	000001 14 12 24  9
	000001 14 12 24 10
	000005 14 12 26 10
	000001 14 12 26 11
	001097 14 12 27 12
	003387 14 12 27 13
	000017 14 12 30 11
	000000 14 12 30 12
	000000 14 12 30 13
	000000 14 12 30 14
	000000 14 12 30 15
	000000 14 12 30 16
	000001 14 12 30 17
	000000 14 12 30 18
	000000 14 12 30 19
	000000 14 12 30 20
	000000 14 12 30 21
	000000 14 12 30 22
	000000 14 12 30 23
	000000 14 12 30 24
	000000 15  1 20  1
	000000 15  1 20  2
	000000 15  1 20  3
	000000 15  1 20  4
	000000 15  1 20  5
	000000 15  1 20  6
	000000 15  1 20  7
	000000 15  1 20  8
	000000 15  1 20  9
	000000 15  1 20 10
	000000 15  1 20 11
	000000 15  1 20 12
	000000 15  1 20 13
	000000 15  1 20 14
	000000 15  1 20 15
	000000 15  1 20 16
	000001 15  2  5 13
	000001 15  2  5 14
	000001 15  3 14 11
	000001 15  3 14 12
	000009 15  3 26 12
	000000 15  3 26 13
	000000 15  3 26 14
	000000 15  3 26 15
	000000 15  3 26 16
	000000 15  3 26 17
	000000 15  3 26 18
	000000 15  3 26 19
	000000 15  3 26 20
	000000 15  3 26 21
	000000 15  3 26 22
	000000 15  3 26 23
	000000 15  3 26 24
	000000 15  3 30  1
	000000 15  3 30  2
	000000 15  3 30  3
	000000 15  3 30  4
	000000 15  3 30  5
	000000 15  3 30  6
	000000 15  3 30  7
	000000 15  3 30  8
	000000 15  3 30  9
	000000 15  3 30 10
	000000 15  3 30 11
	000001 15  3 30 12
	000000 15  3 30 13
	000000 15  3 30 14
	000000 15  3 30 15
	000000 15  3 30 16
	000000 15  3 30 17
	000000 15  3 30 18
	000000 15  3 30 19
	000000 15  3 30 20
	000000 15  3 30 21
	000000 15  3 30 22
	000000 15  3 30 23
	000000 15  3 30 24
	000000 15  3 31  1
	000000 15  3 31  2
	000000 15  3 31  3
	000000 15  3 31  4
	000000 15  3 31  5
	000000 15  3 31  6
	000000 15  3 31  7
	000000 15  3 31  8
	000000 15  3 31  9
	000000 15  3 31 10
	000000 15  3 31 11
	000003 15  3 31 12
	000007 15  4  9 11
	000001 15  4  9 12
	000003 15  4  9 13
	000000 15  5 11 13
	000000 15  5 11 14
	000000 15  5 11 15
	000000 15  5 11 16
	000000 15  5 11 17
	000000 15  5 11 18
	000000 15  5 11 19
	000000 15  5 11 20
	000000 15  5 11 21
	000000 15  5 11 22
	000000 15  5 11 23
	000000 15  5 11 24
	000000 15  5 13  1
	000000 15  5 13  2
	000000 15  5 13  3
	000000 15  5 13  4
	000000 15  5 13  5
	000000 15  5 13  6
	000000 15  5 13  7
	000000 15  5 13  8
	000000 15  5 13  9
	000000 15  5 13 10
	000000 15  5 13 11
	000000 15  5 13 12
	000000 15  5 13 13
	000000 15  5 13 14
	000000 15  5 13 15
	000000 15  5 13 16
	000000 15  5 13 17
	000000 15  5 13 18
	000000 15  5 13 19
	000000 15  5 13 20
	000000 15  5 13 21
	000000 15  5 13 22
	000031 15  5 13 23
	000008 15  5 19  8
	000000 15  5 19  9
	000000 15  5 19 10
	000000 15  5 19 11
	000000 15  5 19 12
	000000 15  5 19 13
	000000 15  5 19 14
	000000 15  5 19 15
	000000 15  5 19 16
	000000 15  5 19 17
	000000 15  5 19 18
	000005 15  5 19 19
	000029 15  6 11 13
	000000 15  6 11 14
	000000 15  6 11 15
	000000 15  6 11 16
	000000 15  6 11 17
	000000 15  6 11 18
	000000 15  6 11 19
	000000 15  6 11 20
	000000 15  6 11 21
	000000 15  6 11 22
	000000 15  6 11 23
	000000 15  6 11 24
	000000 15  7 17  1
	000000 15  7 17  2
	000000 15  7 17  3
	000000 15  7 17  4
	000000 15  7 17  5
	000000 15  7 17  6
	000000 15  7 17  7
	000000 15  7 17  8
	000000 15  7 17  9
	000000 15  7 17 10
	000000 15  7 17 11
	000000 15  7 17 12
	000000 15  7 17 13
	000001 15  7 17 14
	000001 15  7 25  7
	000000 15  7 25  8
	000000 15  7 25  9
	000000 15  7 25 10
	000000 15  7 25 11
	000000 15  7 25 12
	000000 15  7 25 13
	000000 15  7 25 14
	000000 15  7 25 15
	000000 15  7 25 16
	000000 15  7 25 17
	000000 15  7 25 18
	000000 15  7 25 19
	000000 15  7 25 20
	000000 15  7 25 21
	000000 15  7 25 22
	000000 15  7 25 23
	000000 15  7 25 24
	000000 15  7 27  1
	000000 15  7 27  2
	000000 15  7 27  3
	000000 15  7 27  4
	000000 15  7 27  5
	000000 15  7 27  6
	000000 15  7 27  7
	000000 15  7 27  8
	000000 15  7 27  9
	000000 15  7 27 10
	000001 15  7 27 11
	000001 15  7 27 12
	000017 15  8  6 13
	000000 15  8  7 12
	000028 15  8  7 17
	000000 15  8  7 18
	000000 15  8  7 19
	000000 15  8  7 20
	000000 15  8  7 21
	000000 15  8  7 22
	000000 15  8  7 23
	000000 15  8  7 24
	000000 15  8  8  1
	000000 15  8  8  2
	000000 15  8  8  3
	000000 15  8  8  4
	000000 15  8  8  5
	000000 15  8  8  6
	000000 15  8  8  7
	000000 15  8  8  8
	000000 15  8  8  9
	000000 15  8  8 10
	000040 15  8  8 16
	000000 15  8  8 17
	000000 15  8  8 18
	000000 15  8  8 19
	000019 15  8  8 20
	000000 15  8  9  2
	000000 15  8  9  3
	000000 15  8  9  4
	000000 15  8  9  5
	000000 15  8  9  6
	000000 15  8  9  7
	000000 15  8  9  8
	000000 15  8  9  9
	000000 15  8  9 10
	000000 15  8  9 11
	000000 15  8  9 12
	000000 15  8  9 13
	000004 15  8  9 14
	000004 15  8 13 16
	000001 15  8 13 17
	000001 15 10 14 13
	000001 15 10 14 14
	000004 15 10 14 15
	000080 15 10 22 16
	000028 15 10 22 17
	000001 15 11 13 14
	000001 15 11 13 15
	000005 15 11 13 16
	000001 15 12 16 12
	000003 15 12 16 13
	000001 16  2 18 12
	000001 16  2 18 13
	000001 16  3 16 15
	000001 16  3 16 16
	000000 16  3 27  3
	000001 16  4 27 13
	000001 16  4 27 14
	000001 16  5 11 14
	000001 16  5 11 15
	000001 16  6  7 14
	000001 16  6  7 15
	000001 16  6 15 13
	000001 16  6 15 14
	000004 16  6 21 14
	000001 16  6 21 15
	000024 16  7 20 13
	000001 16  7 20 14
	000005 16  8 10 14
	000001 16  8 10 15
	000001 16  9 27 13
	000001 16  9 27 14
	000001 16 10  5 12
	000005 16 10  5 13
	000013 16 10  6 10
	000001 16 10  6 11
	000001 16 10  6 12
	000008 16 10  6 13
	000015 16 10 19 12
	000001 16 10 19 13
	000007 16 10 19 14
	000001 16 11 29 14
	000002 16 11 29 15
	000016 16 12  9 13
	000001 16 12  9 14
	000002 16 12  9 15
	000001 16 12 28 11
	000001 16 12 28 12
   -> notV 0000612 of 0042384 (1.44 prctg)
Pre-process PC 09  SC 56  yB 0 
Pre-process PC 09  SC 59  yB 0 
Pre-process PC 14  SC 47  yB 0 
Pre-process PC 14  SC 50  yB 0 
Pre-process PC 14  SC 56  yB 0 
	 value yy mm dd hh
	000000 12  1 23  8
	000000 12  1 23  9
	000000 12  1 23 10
	000011 12  2  1 24
	000000 12  2  2  1
	000000 12  2  2  2
	000000 12  2  2  3
	000000 12  2  2  4
	000000 12  2  2  5
	000000 12  2  2  6
	000000 12  2  2  7
	000000 12  2  2  8
	000000 12  2  2  9
	000006 12  2  7 11
	000033 12  3 13 14
	000075 12  3 19 13
	000070 12  3 20  5
	000001 12  3 20  6
	000054 12  3 20  7
	000001 12  3 20  8
	000000 12  3 25  3
	000161 12  4 25 10
	000066 12  4 25 11
	000009 12  5  8 10
	000003 12  5  9 10
	000008 12  5  9 12
	000055 12  5  9 15
	000000 12  5 27  6
	000000 12  5 27  7
	000000 12  5 27  8
	000000 12  5 27  9
	000000 12  5 27 10
	000000 12  5 27 11
	000000 12  5 27 12
	000067 12  7 17 14
	000078 12  7 17 15
	000036 12  8  1 11
	000019 12  9 11 13
	000025 12  9 24 15
	000003 12  9 24 16
	000004 12  9 24 17
	000005 12  9 28 12
	000003 12 10 23 11
	000090 12 11  5 15
	000013 12 12 17  8
	000000 12 12 17  9
	000012 12 12 17 10
	000028 12 12 20 15
	000147 13  1  9 10
	000045 13  3 13 10
	000000 13  3 31  3
	000006 13  4 16  6
	000049 13  4 22 11
	000013 13  5 21  9
	000000 13  5 21 10
	000000 13  5 21 11
	000062 13  5 21 12
	000081 13  6  8 13
	000000 13  6  8 14
	000000 13  6  8 15
	000000 13  6  8 16
	000000 13  6  8 17
	000000 13  6  8 18
	000000 13  6  8 19
	000000 13  6  8 20
	000000 13  6  8 21
	000000 13  6  8 22
	000000 13  6  8 23
	000000 13  6  8 24
	000000 13  6 10  1
	000000 13  6 10  2
	000000 13  6 10  3
	000000 13  6 10  4
	000000 13  6 10  5
	000000 13  6 10  6
	000000 13  6 10  7
	000000 13  6 10  8
	000000 13  6 10  9
	000000 13  6 10 10
	000000 13  6 10 11
	000000 13  6 10 12
	000000 13  6 10 13
	000013 13  6 10 14
	000029 13  6 15  8
	000000 13  6 15  9
	000000 13  6 15 10
	000000 13  6 15 11
	000000 13  6 15 12
	000000 13  6 15 13
	000000 13  6 15 14
	000000 13  6 15 15
	000000 13  6 15 16
	000000 13  6 15 17
	000000 13  6 15 18
	000103 13  6 15 19
	000144 13  6 19 15
	000150 13  6 19 16
	000048 13  6 20 11
	000048 13  7  4 15
	000053 13  7 30 11
	000080 13  8 13 13
	000054 13  9 18 14
	000032 13 10 15 12
	000011 13 11 13 10
	000020 13 11 13 11
	000029 13 11 13 17
	000005 13 12 10 11
	000203 13 12 10 12
	000065 14  2  5 15
	000005 14  2 18 11
	000000 14  3 30  3
	000038 14  4  8 13
	000000 14  4  8 14
	000026 14  4  8 15
	000073 14  5 13 15
	000192 14  5 14 15
	000088 14  5 14 16
	000077 14  7  8 13
	000088 14  7 22 14
	000107 14  8  7 15
	000065 14  9 16 14
	000021 14  9 30 12
	000034 14 10 14 11
	000028 14 10 29 14
	000034 14 11 14 10
	000022 14 11 28 12
	000007 14 12 15 11
	000000 14 12 15 12
	000000 14 12 15 13
	000000 14 12 15 14
	000000 14 12 15 15
	000000 14 12 15 16
	000000 14 12 15 17
	000000 14 12 15 18
	000000 14 12 15 19
	000000 14 12 15 20
	000000 14 12 15 21
	000000 14 12 15 22
	000000 14 12 15 23
	000000 14 12 15 24
	000000 14 12 22  1
	000000 14 12 22  2
	000000 14 12 22  3
	000000 14 12 22  4
	000000 14 12 22  5
	000000 14 12 22  6
	000000 14 12 22  7
	000000 14 12 22  8
	000000 14 12 22  9
	000000 14 12 22 10
	000000 14 12 22 11
