Pre-process PC 08  SC 47  yB 0 
	 value yy mm dd hh
	000023 13 11 13 12
	000028 13 12 12 14
	000042 13 12 26 13
	000058 14  1  8 12
	000043 14  2  6 12
	000000 14  2 24  8
	000000 14  2 24  9
	000000 14  2 24 10
	000000 14  2 24 11
	000061 14  2 24 12
	000000 14  3 30  3
	000036 14  4  1 12
	000043 14  4 29 11
	000066 14  6 25 14
	000021 14  7  3 12
	000015 14  7  7 14
	000018 14  8 18 15
	000039 14  8 19  9
	000000 14  8 19 10
	000000 14  8 19 11
	000048 14  8 19 12
	000055 14  9 17 11
	000006 14 10 16 11
	000078 14 10 16 12
	000049 14 10 16 13
	000015 14 11  9  6
	000000 14 11  9  7
	000000 14 11  9  8
	000000 14 11  9  9
	000000 14 11  9 10
	000000 14 11  9 11
	000014 14 11  9 12
	000048 14 11 24 13
	000199 14 12 11 12
	000099 14 12 18 11
	000068 14 12 24  9
	000049 14 12 26 10
	000108 15  1 20 13
	000099 15  1 23 18
	000097 15  2 16 10
	000000 15  2 16 11
	000000 15  2 16 12
	000000 15  2 16 13
	000000 15  2 16 14
	000028 15  2 16 15
	000018 15  2 18 14
	000034 15  3 17 14
	000048 15  3 26 12
	000000 15  3 26 13
	000049 15  3 26 14
	000000 15  3 29  3
	000000 15  3 30 19
	000025 15  3 30 20
	000056 15  3 31 12
	000005 15  4  7 14
	000052 15  4 15 12
	000000 15  5 11 13
	000000 15  5 11 14
	000000 15  5 11 15
	000000 15  5 11 16
	000000 15  5 11 17
	000000 15  5 11 18
	000000 15  5 11 19
	000000 15  5 11 20
	000000 15  5 11 21
	000000 15  5 11 22
	000000 15  5 11 23
	000000 15  5 11 24
	000000 15  5 12  1
	000000 15  5 12  2
	000000 15  5 12  3
	000000 15  5 12  4
	000000 15  5 12  5
	000000 15  5 12  6
	000000 15  5 12  7
	000000 15  5 12  8
	000000 15  5 12  9
	000000 15  5 12 10
	000027 15  5 12 11
	000052 15  5 19  8
	000000 15  5 19  9
	000000 15  5 19 10
	000000 15  5 19 11
	000000 15  5 19 12
	000000 15  5 19 13
	000000 15  5 19 14
	000000 15  5 19 15
	000000 15  5 19 16
	000000 15  5 19 17
	000000 15  5 19 18
	000014 15  5 19 19
	000010 15  5 20  6
	000016 15  5 20 11
	000043 15  5 20 12
	000000 15  5 22  6
	000011 15  5 22 11
	000009 15  5 22 12
	000009 15  5 22 24
	000000 15  5 23  6
	000004 15  5 23 11
