% nSim ->    2754
%      nExp        nIn        hLS      trFcn         lr        trC
         1          7          3          5       0.20       1000
         2          7          3          5       0.20       2000
         3          7          3          5       0.20       5000
         4          7          3          5       0.10       1000
         5          7          3          5       0.10       2000
         6          7          3          5       0.10       5000
         7          7          3          5       0.05       1000
         8          7          3          5       0.05       2000
         9          7          3          5       0.05       5000
        10          7          3          6       0.20       1000
        11          7          3          6       0.20       2000
        12          7          3          6       0.20       5000
        13          7          3          6       0.10       1000
        14          7          3          6       0.10       2000
        15          7          3          6       0.10       5000
        16          7          3          6       0.05       1000
        17          7          3          6       0.05       2000
        18          7          3          6       0.05       5000
        19          7          4          5       0.20       1000
        20          7          4          5       0.20       2000
        21          7          4          5       0.20       5000
        22          7          4          5       0.10       1000
        23          7          4          5       0.10       2000
        24          7          4          5       0.10       5000
        25          7          4          5       0.05       1000
        26          7          4          5       0.05       2000
        27          7          4          5       0.05       5000
        28          7          4          6       0.20       1000
        29          7          4          6       0.20       2000
        30          7          4          6       0.20       5000
        31          7          4          6       0.10       1000
        32          7          4          6       0.10       2000
        33          7          4          6       0.10       5000
        34          7          4          6       0.05       1000
        35          7          4          6       0.05       2000
        36          7          4          6       0.05       5000
        37          7          6          5       0.20       1000
        38          7          6          5       0.20       2000
        39          7          6          5       0.20       5000
        40          7          6          5       0.10       1000
        41          7          6          5       0.10       2000
        42          7          6          5       0.10       5000
        43          7          6          5       0.05       1000
        44          7          6          5       0.05       2000
        45          7          6          5       0.05       5000
        46          7          6          6       0.20       1000
        47          7          6          6       0.20       2000
        48          7          6          6       0.20       5000
        49          7          6          6       0.10       1000
        50          7          6          6       0.10       2000
        51          7          6          6       0.10       5000
        52          7          6          6       0.05       1000
        53          7          6          6       0.05       2000
        54          7          6          6       0.05       5000
        55          7          9          5       0.20       1000
        56          7          9          5       0.20       2000
        57          7          9          5       0.20       5000
        58          7          9          5       0.10       1000
        59          7          9          5       0.10       2000
        60          7          9          5       0.10       5000
        61          7          9          5       0.05       1000
        62          7          9          5       0.05       2000
        63          7          9          5       0.05       5000
        64          7          9          6       0.20       1000
        65          7          9          6       0.20       2000
        66          7          9          6       0.20       5000
        67          7          9          6       0.10       1000
        68          7          9          6       0.10       2000
        69          7          9          6       0.10       5000
        70          7          9          6       0.05       1000
        71          7          9          6       0.05       2000
        72          7          9          6       0.05       5000
        73          7         12          5       0.20       1000
        74          7         12          5       0.20       2000
        75          7         12          5       0.20       5000
        76          7         12          5       0.10       1000
        77          7         12          5       0.10       2000
        78          7         12          5       0.10       5000
        79          7         12          5       0.05       1000
        80          7         12          5       0.05       2000
        81          7         12          5       0.05       5000
        82          7         12          6       0.20       1000
        83          7         12          6       0.20       2000
        84          7         12          6       0.20       5000
        85          7         12          6       0.10       1000
        86          7         12          6       0.10       2000
        87          7         12          6       0.10       5000
        88          7         12          6       0.05       1000
        89          7         12          6       0.05       2000
        90          7         12          6       0.05       5000
        91          7         18          5       0.20       1000
        92          7         18          5       0.20       2000
        93          7         18          5       0.20       5000
        94          7         18          5       0.10       1000
        95          7         18          5       0.10       2000
        96          7         18          5       0.10       5000
        97          7         18          5       0.05       1000
        98          7         18          5       0.05       2000
        99          7         18          5       0.05       5000
       100          7         18          6       0.20       1000
       101          7         18          6       0.20       2000
       102          7         18          6       0.20       5000
       103          7         18          6       0.10       1000
       104          7         18          6       0.10       2000
       105          7         18          6       0.10       5000
       106          7         18          6       0.05       1000
       107          7         18          6       0.05       2000
       108          7         18          6       0.05       5000
       109          7         24          5       0.20       1000
       110          7         24          5       0.20       2000
       111          7         24          5       0.20       5000
       112          7         24          5       0.10       1000
       113          7         24          5       0.10       2000
       114          7         24          5       0.10       5000
       115          7         24          5       0.05       1000
       116          7         24          5       0.05       2000
       117          7         24          5       0.05       5000
       118          7         24          6       0.20       1000
       119          7         24          6       0.20       2000
       120          7         24          6       0.20       5000
       121          7         24          6       0.10       1000
       122          7         24          6       0.10       2000
       123          7         24          6       0.10       5000
       124          7         24          6       0.05       1000
       125          7         24          6       0.05       2000
       126          7         24          6       0.05       5000
       127          7         30          5       0.20       1000
       128          7         30          5       0.20       2000
       129          7         30          5       0.20       5000
       130          7         30          5       0.10       1000
       131          7         30          5       0.10       2000
       132          7         30          5       0.10       5000
       133          7         30          5       0.05       1000
       134          7         30          5       0.05       2000
       135          7         30          5       0.05       5000
       136          7         30          6       0.20       1000
       137          7         30          6       0.20       2000
       138          7         30          6       0.20       5000
       139          7         30          6       0.10       1000
       140          7         30          6       0.10       2000
       141          7         30          6       0.10       5000
       142          7         30          6       0.05       1000
       143          7         30          6       0.05       2000
       144          7         30          6       0.05       5000
       145          7         36          5       0.20       1000
       146          7         36          5       0.20       2000
       147          7         36          5       0.20       5000
       148          7         36          5       0.10       1000
       149          7         36          5       0.10       2000
       150          7         36          5       0.10       5000
       151          7         36          5       0.05       1000
       152          7         36          5       0.05       2000
       153          7         36          5       0.05       5000
       154          7         36          6       0.20       1000
       155          7         36          6       0.20       2000
       156          7         36          6       0.20       5000
       157          7         36          6       0.10       1000
       158          7         36          6       0.10       2000
       159          7         36          6       0.10       5000
       160          7         36          6       0.05       1000
       161          7         36          6       0.05       2000
       162          7         36          6       0.05       5000
       163          7         42          5       0.20       1000
       164          7         42          5       0.20       2000
       165          7         42          5       0.20       5000
       166          7         42          5       0.10       1000
       167          7         42          5       0.10       2000
       168          7         42          5       0.10       5000
       169          7         42          5       0.05       1000
       170          7         42          5       0.05       2000
       171          7         42          5       0.05       5000
       172          7         42          6       0.20       1000
       173          7         42          6       0.20       2000
       174          7         42          6       0.20       5000
       175          7         42          6       0.10       1000
       176          7         42          6       0.10       2000
       177          7         42          6       0.10       5000
       178          7         42          6       0.05       1000
       179          7         42          6       0.05       2000
       180          7         42          6       0.05       5000
       181          7         48          5       0.20       1000
       182          7         48          5       0.20       2000
       183          7         48          5       0.20       5000
       184          7         48          5       0.10       1000
       185          7         48          5       0.10       2000
       186          7         48          5       0.10       5000
       187          7         48          5       0.05       1000
       188          7         48          5       0.05       2000
       189          7         48          5       0.05       5000
       190          7         48          6       0.20       1000
       191          7         48          6       0.20       2000
       192          7         48          6       0.20       5000
       193          7         48          6       0.10       1000
       194          7         48          6       0.10       2000
       195          7         48          6       0.10       5000
       196          7         48          6       0.05       1000
       197          7         48          6       0.05       2000
       198          7         48          6       0.05       5000
       199          7         54          5       0.20       1000
       200          7         54          5       0.20       2000
       201          7         54          5       0.20       5000
       202          7         54          5       0.10       1000
       203          7         54          5       0.10       2000
       204          7         54          5       0.10       5000
       205          7         54          5       0.05       1000
       206          7         54          5       0.05       2000
       207          7         54          5       0.05       5000
       208          7         54          6       0.20       1000
       209          7         54          6       0.20       2000
       210          7         54          6       0.20       5000
       211          7         54          6       0.10       1000
       212          7         54          6       0.10       2000
       213          7         54          6       0.10       5000
       214          7         54          6       0.05       1000
       215          7         54          6       0.05       2000
       216          7         54          6       0.05       5000
       217          7         60          5       0.20       1000
       218          7         60          5       0.20       2000
       219          7         60          5       0.20       5000
       220          7         60          5       0.10       1000
       221          7         60          5       0.10       2000
       222          7         60          5       0.10       5000
       223          7         60          5       0.05       1000
       224          7         60          5       0.05       2000
       225          7         60          5       0.05       5000
       226          7         60          6       0.20       1000
       227          7         60          6       0.20       2000
       228          7         60          6       0.20       5000
       229          7         60          6       0.10       1000
       230          7         60          6       0.10       2000
       231          7         60          6       0.10       5000
       232          7         60          6       0.05       1000
       233          7         60          6       0.05       2000
       234          7         60          6       0.05       5000
       235          7         66          5       0.20       1000
       236          7         66          5       0.20       2000
       237          7         66          5       0.20       5000
       238          7         66          5       0.10       1000
       239          7         66          5       0.10       2000
       240          7         66          5       0.10       5000
       241          7         66          5       0.05       1000
       242          7         66          5       0.05       2000
       243          7         66          5       0.05       5000
       244          7         66          6       0.20       1000
       245          7         66          6       0.20       2000
       246          7         66          6       0.20       5000
       247          7         66          6       0.10       1000
       248          7         66          6       0.10       2000
       249          7         66          6       0.10       5000
       250          7         66          6       0.05       1000
       251          7         66          6       0.05       2000
       252          7         66          6       0.05       5000
       253          7         72          5       0.20       1000
       254          7         72          5       0.20       2000
       255          7         72          5       0.20       5000
       256          7         72          5       0.10       1000
       257          7         72          5       0.10       2000
       258          7         72          5       0.10       5000
       259          7         72          5       0.05       1000
       260          7         72          5       0.05       2000
       261          7         72          5       0.05       5000
       262          7         72          6       0.20       1000
       263          7         72          6       0.20       2000
       264          7         72          6       0.20       5000
       265          7         72          6       0.10       1000
       266          7         72          6       0.10       2000
       267          7         72          6       0.10       5000
       268          7         72          6       0.05       1000
       269          7         72          6       0.05       2000
       270          7         72          6       0.05       5000
       271          7         78          5       0.20       1000
       272          7         78          5       0.20       2000
       273          7         78          5       0.20       5000
       274          7         78          5       0.10       1000
       275          7         78          5       0.10       2000
       276          7         78          5       0.10       5000
       277          7         78          5       0.05       1000
       278          7         78          5       0.05       2000
       279          7         78          5       0.05       5000
       280          7         78          6       0.20       1000
       281          7         78          6       0.20       2000
       282          7         78          6       0.20       5000
       283          7         78          6       0.10       1000
       284          7         78          6       0.10       2000
       285          7         78          6       0.10       5000
       286          7         78          6       0.05       1000
       287          7         78          6       0.05       2000
       288          7         78          6       0.05       5000
       289          7         84          5       0.20       1000
       290          7         84          5       0.20       2000
       291          7         84          5       0.20       5000
       292          7         84          5       0.10       1000
       293          7         84          5       0.10       2000
       294          7         84          5       0.10       5000
       295          7         84          5       0.05       1000
       296          7         84          5       0.05       2000
       297          7         84          5       0.05       5000
       298          7         84          6       0.20       1000
       299          7         84          6       0.20       2000
       300          7         84          6       0.20       5000
       301          7         84          6       0.10       1000
       302          7         84          6       0.10       2000
       303          7         84          6       0.10       5000
       304          7         84          6       0.05       1000
       305          7         84          6       0.05       2000
       306          7         84          6       0.05       5000
       307         14          3          5       0.20       1000
       308         14          3          5       0.20       2000
       309         14          3          5       0.20       5000
       310         14          3          5       0.10       1000
       311         14          3          5       0.10       2000
       312         14          3          5       0.10       5000
       313         14          3          5       0.05       1000
       314         14          3          5       0.05       2000
       315         14          3          5       0.05       5000
       316         14          3          6       0.20       1000
       317         14          3          6       0.20       2000
       318         14          3          6       0.20       5000
       319         14          3          6       0.10       1000
       320         14          3          6       0.10       2000
       321         14          3          6       0.10       5000
       322         14          3          6       0.05       1000
       323         14          3          6       0.05       2000
       324         14          3          6       0.05       5000
       325         14          4          5       0.20       1000
       326         14          4          5       0.20       2000
       327         14          4          5       0.20       5000
       328         14          4          5       0.10       1000
       329         14          4          5       0.10       2000
       330         14          4          5       0.10       5000
       331         14          4          5       0.05       1000
       332         14          4          5       0.05       2000
       333         14          4          5       0.05       5000
       334         14          4          6       0.20       1000
       335         14          4          6       0.20       2000
       336         14          4          6       0.20       5000
       337         14          4          6       0.10       1000
       338         14          4          6       0.10       2000
       339         14          4          6       0.10       5000
       340         14          4          6       0.05       1000
       341         14          4          6       0.05       2000
       342         14          4          6       0.05       5000
       343         14          6          5       0.20       1000
       344         14          6          5       0.20       2000
       345         14          6          5       0.20       5000
       346         14          6          5       0.10       1000
       347         14          6          5       0.10       2000
       348         14          6          5       0.10       5000
       349         14          6          5       0.05       1000
       350         14          6          5       0.05       2000
       351         14          6          5       0.05       5000
       352         14          6          6       0.20       1000
       353         14          6          6       0.20       2000
       354         14          6          6       0.20       5000
       355         14          6          6       0.10       1000
       356         14          6          6       0.10       2000
       357         14          6          6       0.10       5000
       358         14          6          6       0.05       1000
       359         14          6          6       0.05       2000
       360         14          6          6       0.05       5000
       361         14          9          5       0.20       1000
       362         14          9          5       0.20       2000
       363         14          9          5       0.20       5000
       364         14          9          5       0.10       1000
       365         14          9          5       0.10       2000
       366         14          9          5       0.10       5000
       367         14          9          5       0.05       1000
       368         14          9          5       0.05       2000
       369         14          9          5       0.05       5000
       370         14          9          6       0.20       1000
       371         14          9          6       0.20       2000
       372         14          9          6       0.20       5000
       373         14          9          6       0.10       1000
       374         14          9          6       0.10       2000
       375         14          9          6       0.10       5000
       376         14          9          6       0.05       1000
       377         14          9          6       0.05       2000
       378         14          9          6       0.05       5000
       379         14         12          5       0.20       1000
       380         14         12          5       0.20       2000
       381         14         12          5       0.20       5000
       382         14         12          5       0.10       1000
       383         14         12          5       0.10       2000
       384         14         12          5       0.10       5000
       385         14         12          5       0.05       1000
       386         14         12          5       0.05       2000
       387         14         12          5       0.05       5000
       388         14         12          6       0.20       1000
       389         14         12          6       0.20       2000
       390         14         12          6       0.20       5000
       391         14         12          6       0.10       1000
       392         14         12          6       0.10       2000
       393         14         12          6       0.10       5000
       394         14         12          6       0.05       1000
       395         14         12          6       0.05       2000
       396         14         12          6       0.05       5000
       397         14         18          5       0.20       1000
       398         14         18          5       0.20       2000
       399         14         18          5       0.20       5000
       400         14         18          5       0.10       1000
       401         14         18          5       0.10       2000
       402         14         18          5       0.10       5000
       403         14         18          5       0.05       1000
       404         14         18          5       0.05       2000
       405         14         18          5       0.05       5000
       406         14         18          6       0.20       1000
       407         14         18          6       0.20       2000
       408         14         18          6       0.20       5000
       409         14         18          6       0.10       1000
       410         14         18          6       0.10       2000
       411         14         18          6       0.10       5000
       412         14         18          6       0.05       1000
       413         14         18          6       0.05       2000
       414         14         18          6       0.05       5000
       415         14         24          5       0.20       1000
       416         14         24          5       0.20       2000
       417         14         24          5       0.20       5000
       418         14         24          5       0.10       1000
       419         14         24          5       0.10       2000
       420         14         24          5       0.10       5000
       421         14         24          5       0.05       1000
       422         14         24          5       0.05       2000
       423         14         24          5       0.05       5000
       424         14         24          6       0.20       1000
       425         14         24          6       0.20       2000
       426         14         24          6       0.20       5000
       427         14         24          6       0.10       1000
       428         14         24          6       0.10       2000
       429         14         24          6       0.10       5000
       430         14         24          6       0.05       1000
       431         14         24          6       0.05       2000
       432         14         24          6       0.05       5000
       433         14         30          5       0.20       1000
       434         14         30          5       0.20       2000
       435         14         30          5       0.20       5000
       436         14         30          5       0.10       1000
       437         14         30          5       0.10       2000
       438         14         30          5       0.10       5000
       439         14         30          5       0.05       1000
       440         14         30          5       0.05       2000
       441         14         30          5       0.05       5000
       442         14         30          6       0.20       1000
       443         14         30          6       0.20       2000
       444         14         30          6       0.20       5000
       445         14         30          6       0.10       1000
       446         14         30          6       0.10       2000
       447         14         30          6       0.10       5000
       448         14         30          6       0.05       1000
       449         14         30          6       0.05       2000
       450         14         30          6       0.05       5000
       451         14         36          5       0.20       1000
       452         14         36          5       0.20       2000
       453         14         36          5       0.20       5000
       454         14         36          5       0.10       1000
       455         14         36          5       0.10       2000
       456         14         36          5       0.10       5000
       457         14         36          5       0.05       1000
       458         14         36          5       0.05       2000
       459         14         36          5       0.05       5000
       460         14         36          6       0.20       1000
       461         14         36          6       0.20       2000
       462         14         36          6       0.20       5000
       463         14         36          6       0.10       1000
       464         14         36          6       0.10       2000
       465         14         36          6       0.10       5000
       466         14         36          6       0.05       1000
       467         14         36          6       0.05       2000
       468         14         36          6       0.05       5000
       469         14         42          5       0.20       1000
       470         14         42          5       0.20       2000
       471         14         42          5       0.20       5000
       472         14         42          5       0.10       1000
       473         14         42          5       0.10       2000
       474         14         42          5       0.10       5000
       475         14         42          5       0.05       1000
       476         14         42          5       0.05       2000
       477         14         42          5       0.05       5000
       478         14         42          6       0.20       1000
       479         14         42          6       0.20       2000
       480         14         42          6       0.20       5000
       481         14         42          6       0.10       1000
       482         14         42          6       0.10       2000
       483         14         42          6       0.10       5000
       484         14         42          6       0.05       1000
       485         14         42          6       0.05       2000
       486         14         42          6       0.05       5000
       487         14         48          5       0.20       1000
       488         14         48          5       0.20       2000
       489         14         48          5       0.20       5000
       490         14         48          5       0.10       1000
       491         14         48          5       0.10       2000
       492         14         48          5       0.10       5000
       493         14         48          5       0.05       1000
       494         14         48          5       0.05       2000
       495         14         48          5       0.05       5000
       496         14         48          6       0.20       1000
       497         14         48          6       0.20       2000
       498         14         48          6       0.20       5000
       499         14         48          6       0.10       1000
       500         14         48          6       0.10       2000
       501         14         48          6       0.10       5000
       502         14         48          6       0.05       1000
       503         14         48          6       0.05       2000
       504         14         48          6       0.05       5000
       505         14         54          5       0.20       1000
       506         14         54          5       0.20       2000
       507         14         54          5       0.20       5000
       508         14         54          5       0.10       1000
       509         14         54          5       0.10       2000
       510         14         54          5       0.10       5000
       511         14         54          5       0.05       1000
       512         14         54          5       0.05       2000
       513         14         54          5       0.05       5000
       514         14         54          6       0.20       1000
       515         14         54          6       0.20       2000
       516         14         54          6       0.20       5000
       517         14         54          6       0.10       1000
       518         14         54          6       0.10       2000
       519         14         54          6       0.10       5000
       520         14         54          6       0.05       1000
       521         14         54          6       0.05       2000
       522         14         54          6       0.05       5000
       523         14         60          5       0.20       1000
       524         14         60          5       0.20       2000
       525         14         60          5       0.20       5000
       526         14         60          5       0.10       1000
       527         14         60          5       0.10       2000
       528         14         60          5       0.10       5000
       529         14         60          5       0.05       1000
       530         14         60          5       0.05       2000
       531         14         60          5       0.05       5000
       532         14         60          6       0.20       1000
       533         14         60          6       0.20       2000
       534         14         60          6       0.20       5000
       535         14         60          6       0.10       1000
       536         14         60          6       0.10       2000
       537         14         60          6       0.10       5000
       538         14         60          6       0.05       1000
       539         14         60          6       0.05       2000
       540         14         60          6       0.05       5000
       541         14         66          5       0.20       1000
       542         14         66          5       0.20       2000
       543         14         66          5       0.20       5000
       544         14         66          5       0.10       1000
       545         14         66          5       0.10       2000
       546         14         66          5       0.10       5000
       547         14         66          5       0.05       1000
       548         14         66          5       0.05       2000
       549         14         66          5       0.05       5000
       550         14         66          6       0.20       1000
       551         14         66          6       0.20       2000
       552         14         66          6       0.20       5000
       553         14         66          6       0.10       1000
       554         14         66          6       0.10       2000
       555         14         66          6       0.10       5000
       556         14         66          6       0.05       1000
       557         14         66          6       0.05       2000
       558         14         66          6       0.05       5000
       559         14         72          5       0.20       1000
       560         14         72          5       0.20       2000
       561         14         72          5       0.20       5000
       562         14         72          5       0.10       1000
       563         14         72          5       0.10       2000
       564         14         72          5       0.10       5000
       565         14         72          5       0.05       1000
       566         14         72          5       0.05       2000
       567         14         72          5       0.05       5000
       568         14         72          6       0.20       1000
       569         14         72          6       0.20       2000
       570         14         72          6       0.20       5000
       571         14         72          6       0.10       1000
       572         14         72          6       0.10       2000
       573         14         72          6       0.10       5000
       574         14         72          6       0.05       1000
       575         14         72          6       0.05       2000
       576         14         72          6       0.05       5000
       577         14         78          5       0.20       1000
       578         14         78          5       0.20       2000
       579         14         78          5       0.20       5000
       580         14         78          5       0.10       1000
       581         14         78          5       0.10       2000
       582         14         78          5       0.10       5000
       583         14         78          5       0.05       1000
       584         14         78          5       0.05       2000
       585         14         78          5       0.05       5000
       586         14         78          6       0.20       1000
       587         14         78          6       0.20       2000
       588         14         78          6       0.20       5000
       589         14         78          6       0.10       1000
       590         14         78          6       0.10       2000
       591         14         78          6       0.10       5000
       592         14         78          6       0.05       1000
       593         14         78          6       0.05       2000
       594         14         78          6       0.05       5000
       595         14         84          5       0.20       1000
       596         14         84          5       0.20       2000
       597         14         84          5       0.20       5000
       598         14         84          5       0.10       1000
       599         14         84          5       0.10       2000
       600         14         84          5       0.10       5000
       601         14         84          5       0.05       1000
       602         14         84          5       0.05       2000
       603         14         84          5       0.05       5000
       604         14         84          6       0.20       1000
       605         14         84          6       0.20       2000
       606         14         84          6       0.20       5000
       607         14         84          6       0.10       1000
       608         14         84          6       0.10       2000
       609         14         84          6       0.10       5000
       610         14         84          6       0.05       1000
       611         14         84          6       0.05       2000
       612         14         84          6       0.05       5000
       613         28          3          5       0.20       1000
       614         28          3          5       0.20       2000
       615         28          3          5       0.20       5000
       616         28          3          5       0.10       1000
       617         28          3          5       0.10       2000
       618         28          3          5       0.10       5000
       619         28          3          5       0.05       1000
       620         28          3          5       0.05       2000
       621         28          3          5       0.05       5000
       622         28          3          6       0.20       1000
       623         28          3          6       0.20       2000
       624         28          3          6       0.20       5000
       625         28          3          6       0.10       1000
       626         28          3          6       0.10       2000
       627         28          3          6       0.10       5000
       628         28          3          6       0.05       1000
       629         28          3          6       0.05       2000
       630         28          3          6       0.05       5000
       631         28          4          5       0.20       1000
       632         28          4          5       0.20       2000
       633         28          4          5       0.20       5000
       634         28          4          5       0.10       1000
       635         28          4          5       0.10       2000
       636         28          4          5       0.10       5000
       637         28          4          5       0.05       1000
       638         28          4          5       0.05       2000
       639         28          4          5       0.05       5000
       640         28          4          6       0.20       1000
       641         28          4          6       0.20       2000
       642         28          4          6       0.20       5000
       643         28          4          6       0.10       1000
       644         28          4          6       0.10       2000
       645         28          4          6       0.10       5000
       646         28          4          6       0.05       1000
       647         28          4          6       0.05       2000
       648         28          4          6       0.05       5000
       649         28          6          5       0.20       1000
       650         28          6          5       0.20       2000
       651         28          6          5       0.20       5000
       652         28          6          5       0.10       1000
       653         28          6          5       0.10       2000
       654         28          6          5       0.10       5000
       655         28          6          5       0.05       1000
       656         28          6          5       0.05       2000
       657         28          6          5       0.05       5000
       658         28          6          6       0.20       1000
       659         28          6          6       0.20       2000
       660         28          6          6       0.20       5000
       661         28          6          6       0.10       1000
       662         28          6          6       0.10       2000
       663         28          6          6       0.10       5000
       664         28          6          6       0.05       1000
       665         28          6          6       0.05       2000
       666         28          6          6       0.05       5000
       667         28          9          5       0.20       1000
       668         28          9          5       0.20       2000
       669         28          9          5       0.20       5000
       670         28          9          5       0.10       1000
       671         28          9          5       0.10       2000
       672         28          9          5       0.10       5000
       673         28          9          5       0.05       1000
       674         28          9          5       0.05       2000
       675         28          9          5       0.05       5000
       676         28          9          6       0.20       1000
       677         28          9          6       0.20       2000
       678         28          9          6       0.20       5000
       679         28          9          6       0.10       1000
       680         28          9          6       0.10       2000
       681         28          9          6       0.10       5000
       682         28          9          6       0.05       1000
